ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,43069,5832,48901
2,Andhra Pradesh,3383763,534766,3918529
3,Arunachal Pradesh,118869,33024,151893
4,Assam,1274783,275330,1550113
5,Bihar,4457751,592537,5050288
6,Chandigarh,106138,20711,126849
7,Chhattisgarh,4122287,438231,4560518
8,Dadra and Nagar Haveli and Daman and Diu,66368,9697,76065
9,Delhi,1912085,392901,2304986
10,Goa,158199,34357,192556
11,Gujarat,8502799,1202500,9705299
12,Haryana,2422551,236228,2658779
13,Himachal Pradesh,996917,114950,1111867
14,Jammu and Kashmir,1217868,202931,1420799
15,Jharkhand,2197836,308842,2506678
16,Karnataka,5848203,598274,6446477
17,Kerala,4714426,553106,5267532
18,Ladakh,66540,8779,75319
19,Lakshadweep,11852,2719,14571
20,Madhya Pradesh,5903109,658277,6561386
21,Maharashtra,9718039,1035908,10753947
22,Manipur,94174,45804,139978
23,Meghalaya,112648,40207,152855
24,Mizoram,87337,25769,113106
25,Nagaland,92503,28351,120854
26,Odisha,3922145,522096,4444241
27,Puducherry,118439,10832,129271
28,Punjab,1836443,166494,2002937
29,Rajasthan,8886496,1194436,10080932
30,Sikkim,119163,16498,135661
31,Tamil Nadu,3567442,453618,4021060
32,Telangana,2007123,311169,2318292
33,Tripura,744971,97426,842397
34,Uttarakhand,1205293,197902,1403195
35,Uttar Pradesh,8331287,1388612,9719899
36,West Bengal,7328568,1017185,8345753
37,Miscellaneous,1604430,1101365,2705795
