ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,89290,9819,99109
2,Andhra Pradesh,4762101,1224721,5986822
3,Arunachal Pradesh,168237,48709,216946
4,Assam,1665104,440684,2105788
5,Bihar,5615883,942931,6558814
6,Chandigarh,144304,39947,184251
7,Chhattisgarh,4772489,633858,5406347
8,Dadra and Nagar Haveli and Daman and Diu,77374,14034,91408
9,Delhi,2461953,599601,3061554
10,Goa,248297,64730,313027
11,Gujarat,9634479,2086790,11721269
12,Haryana,3096121,498967,3595088
13,Himachal Pradesh,1396592,196724,1593316
14,Jammu and Kashmir,1799415,327649,2127064
15,Jharkhand,2574795,430672,3005467
16,Karnataka,7632148,1260560,8892708
17,Kerala,5885342,1106058,6991400
18,Ladakh,72754,28150,100904
19,Lakshadweep,17863,3892,21755
20,Madhya Pradesh,6988485,1003232,7991717
21,Maharashtra,12768755,2137788,14906543
22,Manipur,135061,57219,192280
23,Meghalaya,171821,53693,225514
24,Mizoram,181154,42285,223439
25,Nagaland,141444,36752,178196
26,Odisha,4791100,826957,5618057
27,Puducherry,163559,21608,185167
28,Punjab,2746960,339125,3086085
29,Rajasthan,10508538,2034683,12543221
30,Sikkim,155696,34257,189953
31,Tamil Nadu,4440851,1043782,5484633
32,Telangana,3745507,542345,4287852
33,Tripura,840474,226827,1067301
34,Uttarakhand,1563590,354901,1918491
35,Uttar Pradesh,9883945,2063783,11947728
36,West Bengal,8363952,1866546,10230498
37,Miscellaneous,1655576,1265898,2921474
