ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,99084,14910,113994
2,Andhra Pradesh,5336834,2165691,7502525
3,Arunachal Pradesh,217039,77802,294841
4,Assam,2609305,729717,3339022
5,Bihar,7024279,1674416,8698695
6,Chandigarh,205449,73662,279111
7,Chhattisgarh,4980661,1077019,6057680
8,Dadra and Nagar Haveli and Daman and Diu,90469,25850,116319
9,Delhi,3444325,1046467,4490792
10,Goa,340203,94196,434399
11,Gujarat,11009944,3822778,14832722
12,Haryana,3904860,907999,4812859
13,Himachal Pradesh,1744944,432563,2177507
14,Jammu and Kashmir,2275190,531925,2807115
15,Jharkhand,2839955,661850,3501805
16,Karnataka,8677725,2491720,11169445
17,Kerala,6391566,1990802,8382368
18,Ladakh,86271,37249,123520
19,Lakshadweep,20566,6490,27056
20,Madhya Pradesh,7394717,1688118,9082835
21,Maharashtra,15465331,4198732,19664063
22,Manipur,306289,69694,375983
23,Meghalaya,324550,74040,398590
24,Mizoram,238195,50900,289095
25,Nagaland,181013,51721,232734
26,Odisha,5174669,1402964,6577633
27,Puducherry,180433,50370,230803
28,Punjab,3440578,701769,4142347
29,Rajasthan,12015027,2976398,14991425
30,Sikkim,164899,59584,224483
31,Tamil Nadu,5034258,1894071,6928329
32,Telangana,4385414,1062391,5447805
33,Tripura,941806,503826,1445632
34,Uttarakhand,1923811,679909,2603720
35,Uttar Pradesh,11508030,3256912,14764942
36,West Bengal,8846834,3714322,12561156
37,Miscellaneous,1699273,1397541,3096814
