ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,99514,14926,114440
2,Andhra Pradesh,5344541,2224905,7569446
3,Arunachal Pradesh,222938,77835,300773
4,Assam,2708136,740123,3448259
5,Bihar,7254529,1682392,8936921
6,Chandigarh,210801,73928,284729
7,Chhattisgarh,4988526,1080104,6068630
8,Dadra and Nagar Haveli and Daman and Diu,96333,25872,122205
9,Delhi,3617488,1077528,4695016
10,Goa,348457,94347,442804
11,Gujarat,11040435,3823422,14863857
12,Haryana,4005701,913102,4918803
13,Himachal Pradesh,1771369,432780,2204149
14,Jammu and Kashmir,2297300,532718,2830018
15,Jharkhand,2934368,665327,3599695
16,Karnataka,8759169,2521102,11280271
17,Kerala,6474733,2008215,8482948
18,Ladakh,87124,37252,124376
19,Lakshadweep,20702,6513,27215
20,Madhya Pradesh,7465455,1708577,9174032
21,Maharashtra,15584197,4249319,19833516
22,Manipur,315385,69770,385155
23,Meghalaya,334321,74078,408399
24,Mizoram,240098,50902,291000
25,Nagaland,185316,51742,237058
26,Odisha,5228704,1410472,6639176
27,Puducherry,181942,50570,232512
28,Punjab,3452562,704463,4157025
29,Rajasthan,12287103,2982610,15269713
30,Sikkim,165974,59606,225580
31,Tamil Nadu,5083368,1912112,6995480
32,Telangana,4385864,1062599,5448463
33,Tripura,949974,504066,1454040
34,Uttarakhand,1969899,680224,2650123
35,Uttar Pradesh,11721943,3275889,14997832
36,West Bengal,8891796,3736383,12628179
37,Miscellaneous,1702162,1409149,3111311
