ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,19203,18860,38063
2,Andhra Pradesh,2535261,2527532,5062793
3,Arunachal Pradesh,58949,44493,103442
4,Assam,1255077,947420,2202497
5,Bihar,6209158,5267304,11476462
6,Chandigarh,57598,41935,99533
7,Chhattisgarh,1232250,1029616,2261866
8,Dadra and Nagar Haveli and Daman and Diu,31504,26862,58366
9,Delhi,1008194,869827,1878021
10,Goa,51724,44537,96261
11,Gujarat,3131084,2901655,6032739
12,Haryana,1157155,765451,1922606
13,Himachal Pradesh,330818,304432,635250
14,Jammu and Kashmir,875977,860988,1736965
15,Jharkhand,1549571,1042649,2592220
16,Karnataka,2813705,2698684,5512389
17,Kerala,1321401,952677,2274078
18,Ladakh,10068,9192,19260
19,Lakshadweep,2911,2772,5683
20,Madhya Pradesh,4193598,3465390,7658988
21,Maharashtra,4102987,3069878,7172865
22,Manipur,108892,66081,174973
23,Meghalaya,76767,42417,119184
24,Mizoram,60087,46926,107013
25,Nagaland,59608,39899,99507
26,Odisha,2195120,1841957,4037077
27,Puducherry,50667,44434,95101
28,Punjab,1115203,866000,1981203
29,Rajasthan,3550785,2855601,6406386
30,Sikkim,30049,26515,56564
31,Tamil Nadu,2625702,2213156,4838858
32,Telangana,1722733,1575424,3298157
33,Tripura,144566,112838,257404
34,Uttarakhand,532398,464306,996704
35,Uttar Pradesh,14188698,13203487,27392185
36,West Bengal,3597675,3030963,6628638
37,Miscellaneous,0,0,0
