ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,32059,5612,37671
2,Andhra Pradesh,3363469,529534,3893003
3,Arunachal Pradesh,105089,30010,135099
4,Assam,1244430,254299,1498729
5,Bihar,4191596,556630,4748226
6,Chandigarh,99484,18671,118155
7,Chhattisgarh,3888692,415408,4304100
8,Dadra and Nagar Haveli and Daman and Diu,61498,9025,70523
9,Delhi,1780624,365116,2145740
10,Goa,147239,31151,178390
11,Gujarat,8156563,1103721,9260284
12,Haryana,2182047,200626,2382673
13,Himachal Pradesh,876536,107374,983910
14,Jammu and Kashmir,1129343,193025,1322368
15,Jharkhand,2065590,294576,2360166
16,Karnataka,5636466,572558,6209024
17,Kerala,4333801,496868,4830669
18,Ladakh,65236,8161,73397
19,Lakshadweep,10693,2591,13284
20,Madhya Pradesh,5224167,615064,5839231
21,Maharashtra,9220610,971743,10192353
22,Manipur,90439,43957,134396
23,Meghalaya,104057,38388,142445
24,Mizoram,73847,22010,95857
25,Nagaland,79484,26370,105854
26,Odisha,3719357,494827,4214184
27,Puducherry,93816,9730,103546
28,Punjab,1691144,154115,1845259
29,Rajasthan,8582526,1133826,9716352
30,Sikkim,101795,15376,117171
31,Tamil Nadu,3316627,398666,3715293
32,Telangana,1861828,299907,2161735
33,Tripura,727231,91876,819107
34,Uttarakhand,1127424,181457,1308881
35,Uttar Pradesh,7559629,1265790,8825419
36,West Bengal,7051379,931261,7982640
37,Miscellaneous,1591585,1051846,2643431
