ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,67540,6568,74108
2,Andhra Pradesh,4010028,597947,4607975
3,Arunachal Pradesh,134090,36852,170942
4,Assam,1295693,290745,1586438
5,Bihar,4896516,682953,5579469
6,Chandigarh,117734,25520,143254
7,Chhattisgarh,4377025,493552,4870577
8,Dadra and Nagar Haveli and Daman and Diu,71964,11179,83143
9,Delhi,2121119,451598,2572717
10,Goa,191878,45278,237156
11,Gujarat,8921816,1415632,10337448
12,Haryana,2706400,316552,3022952
13,Himachal Pradesh,1143734,134355,1278089
14,Jammu and Kashmir,1358847,230405,1589252
15,Jharkhand,2394315,339902,2734217
16,Karnataka,6449748,742880,7192628
17,Kerala,5158593,673960,5832553
18,Ladakh,67157,10662,77819
19,Lakshadweep,14259,2992,17251
20,Madhya Pradesh,6548033,757281,7305314
21,Maharashtra,10850268,1289185,12139453
22,Manipur,102125,50010,152135
23,Meghalaya,125525,43950,169475
24,Mizoram,122337,31701,154038
25,Nagaland,108524,30527,139051
26,Odisha,4262088,603177,4865265
27,Puducherry,150083,13683,163766
28,Punjab,2145957,206561,2352518
29,Rajasthan,9332463,1366308,10698771
30,Sikkim,139394,20729,160123
31,Tamil Nadu,4064944,605837,4670781
32,Telangana,2585616,367294,2952910
33,Tripura,766319,114048,880367
34,Uttarakhand,1324657,240780,1565437
35,Uttar Pradesh,9102697,1610042,10712739
36,West Bengal,7577349,1162724,8740073
37,Miscellaneous,1624241,1168145,2792386
