ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,93493,10881,104374
2,Andhra Pradesh,5112553,1467264,6579817
3,Arunachal Pradesh,187159,54324,241483
4,Assam,1950117,534496,2484613
5,Bihar,5882397,1085837,6968234
6,Chandigarh,160071,48418,208489
7,Chhattisgarh,4853099,718000,5571099
8,Dadra and Nagar Haveli and Daman and Diu,79358,16138,95496
9,Delhi,2581796,690332,3272128
10,Goa,277125,72593,349718
11,Gujarat,9965898,2492610,12458508
12,Haryana,3199113,559402,3758515
13,Himachal Pradesh,1541271,252131,1793402
14,Jammu and Kashmir,1975108,373155,2348263
15,Jharkhand,2635990,478134,3114124
16,Karnataka,8091599,1551873,9643472
17,Kerala,6051411,1325775,7377186
18,Ladakh,74661,33852,108513
19,Lakshadweep,18943,4197,23140
20,Madhya Pradesh,7023032,1056496,8079528
21,Maharashtra,13562148,2622675,16184823
22,Manipur,189159,61155,250314
23,Meghalaya,230785,59941,290726
24,Mizoram,211363,44733,256096
25,Nagaland,158599,40215,198814
26,Odisha,4928831,928900,5857731
27,Puducherry,169451,28339,197790
28,Punjab,2969346,425392,3394738
29,Rajasthan,10797385,2224937,13022322
30,Sikkim,161083,42883,203966
31,Tamil Nadu,4635447,1312353,5947800
32,Telangana,4152684,628544,4781228
33,Tripura,898932,338806,1237738
34,Uttarakhand,1662261,413882,2076143
35,Uttar Pradesh,10241537,2317497,12559034
36,West Bengal,8662504,2309974,10972478
37,Miscellaneous,1671037,1306755,2977792
