ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,94050,11113,105163
2,Andhra Pradesh,5178514,1521734,6700248
3,Arunachal Pradesh,189935,55698,245633
4,Assam,2018850,554699,2573549
5,Bihar,5929577,1119367,7048944
6,Chandigarh,163638,49636,213274
7,Chhattisgarh,4878221,744712,5622933
8,Dadra and Nagar Haveli and Daman and Diu,79824,16580,96404
9,Delhi,2615985,712661,3328646
10,Goa,282295,73435,355730
11,Gujarat,10159249,2589781,12749030
12,Haryana,3213944,565780,3779724
13,Himachal Pradesh,1562625,261351,1823976
14,Jammu and Kashmir,1997474,381082,2378556
15,Jharkhand,2650132,489441,3139573
16,Karnataka,8182326,1599857,9782183
17,Kerala,6072156,1356764,7428920
18,Ladakh,75007,34471,109478
19,Lakshadweep,19176,4279,23455
20,Madhya Pradesh,7046736,1105065,8151801
21,Maharashtra,13662818,2659518,16322336
22,Manipur,202052,61750,263802
23,Meghalaya,237337,60630,297967
24,Mizoram,214013,44909,258922
25,Nagaland,159659,40327,199986
26,Odisha,4938814,933924,5872738
27,Puducherry,170748,29158,199906
28,Punjab,3032662,445009,3477671
29,Rajasthan,10842068,2250711,13092779
30,Sikkim,161460,43669,205129
31,Tamil Nadu,4683293,1362335,6045628
32,Telangana,4158702,630248,4788950
33,Tripura,907588,353849,1261437
34,Uttarakhand,1672477,424276,2096753
35,Uttar Pradesh,10349479,2371315,12720794
36,West Bengal,8694518,2370153,11064671
37,Miscellaneous,1673751,1315591,2989342
