ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,94126,11160,105286
2,Andhra Pradesh,5176374,1519932,6696306
3,Arunachal Pradesh,190516,56066,246582
4,Assam,2033507,556769,2590276
5,Bihar,5965700,1145575,7111275
6,Chandigarh,165616,50277,215893
7,Chhattisgarh,4887678,759407,5647085
8,Dadra and Nagar Haveli and Daman and Diu,79890,16729,96619
9,Delhi,2613232,711690,3324922
10,Goa,284559,73720,358279
11,Gujarat,10160860,2641791,12802651
12,Haryana,3230227,566615,3796842
13,Himachal Pradesh,1566261,262692,1828953
14,Jammu and Kashmir,2027655,387799,2415454
15,Jharkhand,2653045,493777,3146822
16,Karnataka,8204633,1612764,9817397
17,Kerala,6069748,1356416,7426164
18,Ladakh,75063,34631,109694
19,Lakshadweep,19368,4318,23686
20,Madhya Pradesh,7045957,1108964,8154921
21,Maharashtra,13677535,2665223,16342758
22,Manipur,205036,61754,266790
23,Meghalaya,237838,60571,298409
24,Mizoram,213937,44878,258815
25,Nagaland,159923,40345,200268
26,Odisha,4939823,934584,5874407
27,Puducherry,170709,29317,200026
28,Punjab,3047712,450811,3498523
29,Rajasthan,10894122,2279304,13173426
30,Sikkim,161376,43614,204990
31,Tamil Nadu,4679186,1367098,6046284
32,Telangana,4157895,629638,4787533
33,Tripura,909643,357419,1267062
34,Uttarakhand,1674216,427663,2101879
35,Uttar Pradesh,10334378,2371136,12705514
36,West Bengal,8692801,2373485,11066286
37,Miscellaneous,1674132,1315998,2990130
