ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,96017,12812,108829
2,Andhra Pradesh,5275927,1794315,7070242
3,Arunachal Pradesh,202234,64735,266969
4,Assam,2204065,623496,2827561
5,Bihar,6149968,1388358,7538326
6,Chandigarh,177729,58041,235770
7,Chhattisgarh,4920177,846682,5766859
8,Dadra and Nagar Haveli and Daman and Diu,81148,19134,100282
9,Delhi,2877331,810452,3687783
10,Goa,300071,79251,379322
11,Gujarat,10454001,2966246,13420247
12,Haryana,3440581,646093,4086674
13,Himachal Pradesh,1656155,333536,1989691
14,Jammu and Kashmir,2152632,443821,2596453
15,Jharkhand,2683024,541344,3224368
16,Karnataka,8406980,1845420,10252400
17,Kerala,6128668,1567209,7695877
18,Ladakh,80912,36198,117110
19,Lakshadweep,19838,5108,24946
20,Madhya Pradesh,7118526,1343950,8462476
21,Maharashtra,14162312,3081145,17243457
22,Manipur,248329,65545,313874
23,Meghalaya,263467,65907,329374
24,Mizoram,228855,46324,275179
25,Nagaland,170091,45612,215703
26,Odisha,4995571,1021844,6017415
27,Puducherry,173867,36027,209894
28,Punjab,3176837,528423,3705260
29,Rajasthan,11231650,2469122,13700772
30,Sikkim,163340,51377,214717
31,Tamil Nadu,4783045,1553407,6336452
32,Telangana,4321827,715976,5037803
33,Tripura,922039,425865,1347904
34,Uttarakhand,1719526,521939,2241465
35,Uttar Pradesh,10671374,2659209,13330583
36,West Bengal,8743034,2816845,11559879
37,Miscellaneous,1686676,1354466,3041142
