ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,96702,13166,109868
2,Andhra Pradesh,5305880,1861719,7167599
3,Arunachal Pradesh,204766,67424,272190
4,Assam,2267864,641676,2909540
5,Bihar,6185149,1432083,7617232
6,Chandigarh,180958,60380,241338
7,Chhattisgarh,4926238,865210,5791448
8,Dadra and Nagar Haveli and Daman and Diu,81698,20094,101792
9,Delhi,2945498,822549,3768047
10,Goa,304465,81236,385701
11,Gujarat,10522995,3083689,13606684
12,Haryana,3504875,684732,4189607
13,Himachal Pradesh,1669330,349372,2018702
14,Jammu and Kashmir,2188417,464090,2652507
15,Jharkhand,2691177,554458,3245635
16,Karnataka,8443913,1922619,10366532
17,Kerala,6153727,1700323,7854050
18,Ladakh,81744,36337,118081
19,Lakshadweep,19923,5344,25267
20,Madhya Pradesh,7123166,1356097,8479263
21,Maharashtra,14383450,3234269,17617719
22,Manipur,255855,66332,322187
23,Meghalaya,270542,67200,337742
24,Mizoram,230488,46817,277305
25,Nagaland,171595,46252,217847
26,Odisha,5011769,1082478,6094247
27,Puducherry,174721,38136,212857
28,Punjab,3217128,556162,3773290
29,Rajasthan,11298842,2543148,13841990
30,Sikkim,163675,53764,217439
31,Tamil Nadu,4814633,1608046,6422679
32,Telangana,4371198,745850,5117048
33,Tripura,926237,449290,1375527
34,Uttarakhand,1733697,554298,2287995
35,Uttar Pradesh,10745272,2725710,13470982
36,West Bengal,8755459,3030490,11785949
37,Miscellaneous,1689400,1363258,3052658
