ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,98837,14618,113455
2,Andhra Pradesh,5333983,2094993,7428976
3,Arunachal Pradesh,215661,77566,293227
4,Assam,2556805,726365,3283170
5,Bihar,6888249,1661464,8549713
6,Chandigarh,201426,72118,273544
7,Chhattisgarh,4973490,1048742,6022232
8,Dadra and Nagar Haveli and Daman and Diu,87618,24757,112375
9,Delhi,3364123,1008618,4372741
10,Goa,331220,92524,423744
11,Gujarat,10978124,3821613,14799737
12,Haryana,3865314,895230,4760544
13,Himachal Pradesh,1729593,424042,2153635
14,Jammu and Kashmir,2264605,526627,2791232
15,Jharkhand,2790722,652498,3443220
16,Karnataka,8659073,2406768,11065841
17,Kerala,6257447,1968691,8226138
18,Ladakh,85330,37110,122440
19,Lakshadweep,20555,6485,27040
20,Madhya Pradesh,7333762,1631210,8964972
21,Maharashtra,15344900,4124773,19469673
22,Manipur,299447,69560,369007
23,Meghalaya,319553,73859,393412
24,Mizoram,237504,50839,288343
25,Nagaland,180740,51642,232382
26,Odisha,5148647,1394107,6542754
27,Puducherry,179241,49101,228342
28,Punjab,3427100,697985,4125085
29,Rajasthan,11895029,2957371,14852400
30,Sikkim,164814,59573,224387
31,Tamil Nadu,5005098,1868492,6873590
32,Telangana,4385309,1062232,5447541
33,Tripura,940372,503059,1443431
34,Uttarakhand,1896860,675687,2572547
35,Uttar Pradesh,11391619,3177256,14568875
36,West Bengal,8824252,3676768,12501020
37,Miscellaneous,1699273,1397541,3096814
