ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,103602,15152,118754
2,Andhra Pradesh,5558500,2347240,7905740
3,Arunachal Pradesh,245141,78008,323149
4,Assam,2937340,777418,3714758
5,Bihar,7787248,1729492,9516740
6,Chandigarh,237552,74612,312164
7,Chhattisgarh,5781423,1090639,6872062
8,Dadra and Nagar Haveli and Daman and Diu,120336,25903,146239
9,Delhi,3934347,1151356,5085703
10,Goa,389208,94659,483867
11,Gujarat,11503498,3897285,15400783
12,Haryana,4405946,945293,5351239
13,Himachal Pradesh,1901107,433106,2334213
14,Jammu and Kashmir,2417120,537331,2954451
15,Jharkhand,3199634,676560,3876194
16,Karnataka,9398118,2615897,12014015
17,Kerala,6621927,2019981,8641908
18,Ladakh,94804,37257,132061
19,Lakshadweep,23057,6920,29977
20,Madhya Pradesh,8023061,1752756,9775817
21,Maharashtra,16324914,4385997,20710911
22,Manipur,343656,70061,413717
23,Meghalaya,360213,74149,434362
24,Mizoram,252195,50982,303177
25,Nagaland,195477,51845,247322
26,Odisha,5659104,1440698,7099802
27,Puducherry,193724,50857,244581
28,Punjab,3964961,726121,4691082
29,Rajasthan,12914866,3025727,15940593
30,Sikkim,174661,59629,234290
31,Tamil Nadu,5410694,1961304,7371998
32,Telangana,4452963,1073098,5526061
33,Tripura,1044024,506794,1550818
34,Uttarakhand,2091453,680913,2772366
35,Uttar Pradesh,12897520,3344183,16241703
36,West Bengal,9272120,3814427,13086547
37,Miscellaneous,1709757,1435263,3145020
