ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,108556,15166,123722
2,Andhra Pradesh,7282314,2484464,9766778
3,Arunachal Pradesh,254719,78272,332991
4,Assam,3264939,828758,4093697
5,Bihar,8465262,1779574,10244836
6,Chandigarh,268422,74857,343279
7,Chhattisgarh,5884836,1103284,6988120
8,Dadra and Nagar Haveli and Daman and Diu,163805,25959,189764
9,Delhi,4147862,1204281,5352143
10,Goa,429365,94979,524344
11,Gujarat,12785874,4114789,16900663
12,Haryana,4839906,990430,5830336
13,Himachal Pradesh,1997445,433612,2431057
14,Jammu and Kashmir,2721398,543404,3264802
15,Jharkhand,3450499,704510,4155009
16,Karnataka,10703028,2730250,13433278
17,Kerala,7180189,2050547,9230736
18,Ladakh,116853,37279,154132
19,Lakshadweep,25903,6945,32848
20,Madhya Pradesh,9112557,1784434,10896991
21,Maharashtra,17774757,4532241,22306998
22,Manipur,380866,70337,451203
23,Meghalaya,389872,74324,464196
24,Mizoram,262364,51087,313451
25,Nagaland,210628,51930,262558
26,Odisha,6255145,1470658,7725803
27,Puducherry,214450,51138,265588
28,Punjab,4244474,765153,5009627
29,Rajasthan,13763262,3098305,16861567
30,Sikkim,179179,59653,238832
31,Tamil Nadu,6872673,2018876,8891549
32,Telangana,4731033,1248050,5979083
33,Tripura,1094440,507578,1602018
34,Uttarakhand,2217786,683288,2901074
35,Uttar Pradesh,14558288,3450316,18008604
36,West Bengal,10542706,3865890,14408596
37,Miscellaneous,1717716,1456140,3173856
