ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,113196,15287,128483
2,Andhra Pradesh,8627811,2596769,11224580
3,Arunachal Pradesh,316900,78796,395696
4,Assam,3622048,868070,4490118
5,Bihar,9524795,1878731,11403526
6,Chandigarh,311657,75407,387064
7,Chhattisgarh,6020857,1144068,7164925
8,Dadra and Nagar Haveli and Daman and Diu,213961,26163,240124
9,Delhi,4467395,1363193,5830588
10,Goa,503758,96936,600694
11,Gujarat,14787186,4401328,19188514
12,Haryana,5392205,1034755,6426960
13,Himachal Pradesh,2122847,434946,2557793
14,Jammu and Kashmir,2973516,574430,3547946
15,Jharkhand,3968097,761387,4729484
16,Karnataka,13045252,2933353,15978605
17,Kerala,8622255,2197075,10819330
18,Ladakh,146102,37340,183442
19,Lakshadweep,35731,7020,42751
20,Madhya Pradesh,11703033,1875515,13578548
21,Maharashtra,20007070,5008476,25015546
22,Manipur,451274,71208,522482
23,Meghalaya,405604,74599,480203
24,Mizoram,283167,51870,335037
25,Nagaland,259990,52166,312156
26,Odisha,7177475,1566700,8744175
27,Puducherry,253231,52189,305420
28,Punjab,4625706,805969,5431675
29,Rajasthan,15179151,3297804,18476955
30,Sikkim,184523,59759,244282
31,Tamil Nadu,8107953,2110972,10218925
32,Telangana,5886806,1323042,7209848
33,Tripura,1137676,508536,1646212
34,Uttarakhand,2465354,690452,3155806
35,Uttar Pradesh,17864149,3701174,21565323
36,West Bengal,12948388,3985843,16934231
37,Miscellaneous,1726826,1482420,3209246
