ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,114083,15300,129383
2,Andhra Pradesh,8875588,2604950,11480538
3,Arunachal Pradesh,321595,78911,400506
4,Assam,3692774,890211,4582985
5,Bihar,9704625,1887545,11592170
6,Chandigarh,313830,75504,389334
7,Chhattisgarh,6030719,1148482,7179201
8,Dadra and Nagar Haveli and Daman and Diu,218847,26194,245041
9,Delhi,4517655,1394163,5911818
10,Goa,511201,97178,608379
11,Gujarat,15003482,4455800,19459282
12,Haryana,5505857,1043738,6549595
13,Himachal Pradesh,2130836,435278,2566114
14,Jammu and Kashmir,3002894,577100,3579994
15,Jharkhand,4032279,765855,4798134
16,Karnataka,13275211,2953042,16228253
17,Kerala,8759501,2209625,10969126
18,Ladakh,148627,37355,185982
19,Lakshadweep,36514,7028,43542
20,Madhya Pradesh,11869735,1891192,13760927
21,Maharashtra,20199896,5066556,25266452
22,Manipur,456059,71293,527352
23,Meghalaya,407946,74647,482593
24,Mizoram,287688,51887,339575
25,Nagaland,267970,52281,320251
26,Odisha,7218256,1580772,8799028
27,Puducherry,259104,52406,311510
28,Punjab,4648958,809166,5458124
29,Rajasthan,15513737,3308308,18822045
30,Sikkim,192499,59773,252272
31,Tamil Nadu,8146496,2114309,10260805
32,Telangana,6057522,1328962,7386484
33,Tripura,1140843,508864,1649707
34,Uttarakhand,2515088,691433,3206521
35,Uttar Pradesh,18270797,3728751,21999548
36,West Bengal,13135205,3995296,17130501
37,Miscellaneous,1727657,1484920,3212577
