ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,114829,15319,130148
2,Andhra Pradesh,9066361,2610233,11676594
3,Arunachal Pradesh,326434,78990,405424
4,Assam,3766639,904555,4671194
5,Bihar,9872064,1897336,11769400
6,Chandigarh,319653,75613,395266
7,Chhattisgarh,6036342,1152793,7189135
8,Dadra and Nagar Haveli and Daman and Diu,228400,26289,254689
9,Delhi,4578721,1412047,5990768
10,Goa,516651,97513,614164
11,Gujarat,15238444,4506234,19744678
12,Haryana,5597402,1054411,6651813
13,Himachal Pradesh,2140648,435642,2576290
14,Jammu and Kashmir,3033379,579658,3613037
15,Jharkhand,4118741,772972,4891713
16,Karnataka,13571091,2979262,16550353
17,Kerala,8865165,2222471,11087636
18,Ladakh,151773,37357,189130
19,Lakshadweep,37711,7039,44750
20,Madhya Pradesh,11890392,1897094,13787486
21,Maharashtra,20404510,5116063,25520573
22,Manipur,463537,71407,534944
23,Meghalaya,417657,74661,492318
24,Mizoram,290811,52035,342846
25,Nagaland,276976,52318,329294
26,Odisha,7288993,1606999,8895992
27,Puducherry,264593,52603,317196
28,Punjab,4700630,813356,5513986
29,Rajasthan,15956804,3321624,19278428
30,Sikkim,205108,59786,264894
31,Tamil Nadu,8203122,2122163,10325285
32,Telangana,6259168,1335190,7594358
33,Tripura,1142891,509165,1652056
34,Uttarakhand,2557107,692620,3249727
35,Uttar Pradesh,18705919,3763040,22468959
36,West Bengal,13353003,4016602,17369605
37,Miscellaneous,1728480,1487695,3216175
