ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,115688,15348,131036
2,Andhra Pradesh,9306916,2622690,11929606
3,Arunachal Pradesh,335535,79041,414576
4,Assam,3878327,928155,4806482
5,Bihar,10106377,1912589,12018966
6,Chandigarh,329275,75739,405014
7,Chhattisgarh,6052670,1159860,7212530
8,Dadra and Nagar Haveli and Daman and Diu,240534,26347,266881
9,Delhi,4645751,1442900,6088651
10,Goa,540700,97879,638579
11,Gujarat,15697737,4572559,20270296
12,Haryana,5704961,1064765,6769726
13,Himachal Pradesh,2151620,435973,2587593
14,Jammu and Kashmir,3093150,582955,3676105
15,Jharkhand,4299448,798358,5097806
16,Karnataka,13943769,3011942,16955711
17,Kerala,8974431,2238447,11212878
18,Ladakh,153677,37375,191052
19,Lakshadweep,39686,7073,46759
20,Madhya Pradesh,11979616,1950285,13929901
21,Maharashtra,20727966,5181057,25909023
22,Manipur,466390,71437,537827
23,Meghalaya,428457,74696,503153
24,Mizoram,291725,52319,344044
25,Nagaland,283720,52332,336052
26,Odisha,7344019,1631043,8975062
27,Puducherry,273909,52877,326786
28,Punjab,4825739,872028,5697767
29,Rajasthan,16363858,3338215,19702073
30,Sikkim,213698,59794,273492
31,Tamil Nadu,8691807,2151121,10842928
32,Telangana,6611795,1342756,7954551
33,Tripura,1147923,512652,1660575
34,Uttarakhand,2620670,698506,3319176
35,Uttar Pradesh,19160094,3795916,22956010
36,West Bengal,13598946,4041058,17640004
37,Miscellaneous,1729088,1491542,3220630
