ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,116624,15368,131992
2,Andhra Pradesh,9668857,2635559,12304416
3,Arunachal Pradesh,341767,79111,420878
4,Assam,3933962,954251,4888213
5,Bihar,10202989,1922683,12125672
6,Chandigarh,336021,75846,411867
7,Chhattisgarh,6066094,1186837,7252931
8,Dadra and Nagar Haveli and Daman and Diu,245718,26413,272131
9,Delhi,4687323,1463616,6150939
10,Goa,559749,98506,658255
11,Gujarat,15960073,4607094,20567167
12,Haryana,5787413,1076127,6863540
13,Himachal Pradesh,2178527,435974,2614501
14,Jammu and Kashmir,3145764,585201,3730965
15,Jharkhand,4380350,815133,5195483
16,Karnataka,14202383,3040727,17243110
17,Kerala,9140193,2266014,11406207
18,Ladakh,155033,37387,192420
19,Lakshadweep,40876,7080,47956
20,Madhya Pradesh,12441146,1990371,14431517
21,Maharashtra,20995275,5233018,26228293
22,Manipur,472041,71562,543603
23,Meghalaya,442075,74726,516801
24,Mizoram,304944,52350,357294
25,Nagaland,297138,52396,349534
26,Odisha,7398819,1653991,9052810
27,Puducherry,280716,53138,333854
28,Punjab,4925386,822098,5747484
29,Rajasthan,16541044,3347037,19888081
30,Sikkim,226651,59831,286482
31,Tamil Nadu,8964448,2167332,11131780
32,Telangana,6800786,1347838,8148624
33,Tripura,1164324,516990,1681314
34,Uttarakhand,2670335,705783,3376118
35,Uttar Pradesh,19576091,3836897,23412988
36,West Bengal,13786129,4068319,17854448
37,Miscellaneous,1729682,1494722,3224404
