ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,118493,15413,133906
2,Andhra Pradesh,9776531,2643539,12420070
3,Arunachal Pradesh,359690,79354,439044
4,Assam,4012662,980081,4992743
5,Bihar,10757397,1953539,12710936
6,Chandigarh,348773,76204,424977
7,Chhattisgarh,6144376,1197594,7341970
8,Dadra and Nagar Haveli and Daman and Diu,258147,26605,284752
9,Delhi,4752339,1506598,6258937
10,Goa,592498,99196,691694
11,Gujarat,16411386,4669903,21081289
12,Haryana,5903976,1098832,7002808
13,Himachal Pradesh,2262289,436606,2698895
14,Jammu and Kashmir,3226456,588593,3815049
15,Jharkhand,4495466,845079,5340545
16,Karnataka,14554319,3098446,17652765
17,Kerala,9367028,2358420,11725448
18,Ladakh,157066,37414,194480
19,Lakshadweep,42755,7106,49861
20,Madhya Pradesh,12797703,2024222,14821925
21,Maharashtra,21391791,5328026,26719817
22,Manipur,482392,71698,554090
23,Meghalaya,469938,74826,544764
24,Mizoram,341314,52406,393720
25,Nagaland,320388,52571,372959
26,Odisha,7611193,1719081,9330274
27,Puducherry,298786,53957,352743
28,Punjab,5049433,831134,5880567
29,Rajasthan,16672209,3359935,20032144
30,Sikkim,257427,59845,317272
31,Tamil Nadu,9419536,2197541,11617077
32,Telangana,7129534,1357754,8487288
33,Tripura,1212328,522437,1734765
34,Uttarakhand,2724296,719094,3443390
35,Uttar Pradesh,20292946,3910074,24203020
36,West Bengal,14104949,4120167,18225116
37,Miscellaneous,1730270,1497881,3228151
