ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,120356,15460,135816
2,Andhra Pradesh,9816779,2648335,12465114
3,Arunachal Pradesh,389574,79504,469078
4,Assam,4170576,1030596,5201172
5,Bihar,11138763,2015574,13154337
6,Chandigarh,363100,76617,439717
7,Chhattisgarh,6230986,1207020,7438006
8,Dadra and Nagar Haveli and Daman and Diu,270738,26748,297486
9,Delhi,4875003,1551300,6426303
10,Goa,626029,100182,726211
11,Gujarat,16814426,4739896,21554322
12,Haryana,6091570,1131018,7222588
13,Himachal Pradesh,2353332,438298,2791630
14,Jammu and Kashmir,3307205,596441,3903646
15,Jharkhand,4653432,875889,5529321
16,Karnataka,14912838,3155782,18068620
17,Kerala,9567347,2404008,11971355
18,Ladakh,160677,37444,198121
19,Lakshadweep,43657,7116,50773
20,Madhya Pradesh,12928437,2043101,14971538
21,Maharashtra,21737241,5412382,27149623
22,Manipur,488761,71979,560740
23,Meghalaya,503099,74990,578089
24,Mizoram,368706,52653,421359
25,Nagaland,339030,52965,391995
26,Odisha,7849507,1773752,9623259
27,Puducherry,329411,55101,384512
28,Punjab,5212094,842827,6054921
29,Rajasthan,17247419,3370894,20618313
30,Sikkim,287427,59894,347321
31,Tamil Nadu,9872488,2231555,12104043
32,Telangana,7470427,1372240,8842667
33,Tripura,1325721,531847,1857568
34,Uttarakhand,2784984,728699,3513683
35,Uttar Pradesh,21096533,3986514,25083047
36,West Bengal,14422580,4188380,18610960
37,Miscellaneous,1731028,1500501,3231529
