ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,128612,15591,144203
2,Andhra Pradesh,11315609,2758924,14074533
3,Arunachal Pradesh,436924,80118,517042
4,Assam,5227301,1120548,6347849
5,Bihar,12833933,2112759,14946692
6,Chandigarh,396356,77947,474303
7,Chhattisgarh,6661351,1269668,7931019
8,Dadra and Nagar Haveli and Daman and Diu,304463,27471,331934
9,Delhi,5172626,1625636,6798262
10,Goa,701414,102993,804407
11,Gujarat,18445685,5032349,23478034
12,Haryana,6844825,1218543,8063368
13,Himachal Pradesh,2743734,440232,3183966
14,Jammu and Kashmir,3499026,615567,4114593
15,Jharkhand,5157969,963126,6121095
16,Karnataka,17100083,3377106,20477189
17,Kerala,10098458,2715927,12814385
18,Ladakh,166158,37551,203709
19,Lakshadweep,45549,7241,52790
20,Madhya Pradesh,15733116,2198101,17931217
21,Maharashtra,23620724,5671918,29292642
22,Manipur,510146,72480,582626
23,Meghalaya,554153,75549,629702
24,Mizoram,443241,53016,496257
25,Nagaland,376898,53710,430608
26,Odisha,8861348,1890915,10752263
27,Puducherry,394557,59158,453715
28,Punjab,5673948,890491,6564439
29,Rajasthan,18882422,3588779,22471201
30,Sikkim,337086,60026,397112
31,Tamil Nadu,11257029,2334154,13591183
32,Telangana,8209687,1415734,9625421
33,Tripura,1787332,556560,2343892
34,Uttarakhand,3175155,745556,3920711
35,Uttar Pradesh,23877037,4140430,28017467
36,West Bengal,15517555,4483433,20000988
37,Miscellaneous,1733415,1511796,3245211
