ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,133497,15772,149269
2,Andhra Pradesh,11534623,2816697,14351320
3,Arunachal Pradesh,448567,80580,529147
4,Assam,5378063,1135046,6513109
5,Bihar,13091648,2134652,15226300
6,Chandigarh,402042,78621,480663
7,Chhattisgarh,6835243,1307769,8143012
8,Dadra and Nagar Haveli and Daman and Diu,312548,28134,340682
9,Delhi,5309691,1645403,6955094
10,Goa,713332,104121,817453
11,Gujarat,18785079,5133723,23918802
12,Haryana,6907330,1233166,8140496
13,Himachal Pradesh,2769119,449893,3219012
14,Jammu and Kashmir,3541520,621477,4162997
15,Jharkhand,5261627,978539,6240166
16,Karnataka,17456601,3417534,20874135
17,Kerala,10234797,2797468,13032265
18,Ladakh,167492,39413,206905
19,Lakshadweep,45812,7293,53105
20,Madhya Pradesh,16452929,2250841,18703770
21,Maharashtra,23993590,5730047,29723637
22,Manipur,515263,72600,587863
23,Meghalaya,565798,75958,641756
24,Mizoram,465461,53086,518547
25,Nagaland,386049,54520,440569
26,Odisha,9106505,1926180,11032685
27,Puducherry,401601,60285,461886
28,Punjab,5757250,907022,6664272
29,Rajasthan,19058646,3620647,22679293
30,Sikkim,349097,60800,409897
31,Tamil Nadu,11613983,2374498,13988481
32,Telangana,8400813,1429474,9830287
33,Tripura,1831611,562472,2394083
34,Uttarakhand,3273006,750877,4023883
35,Uttar Pradesh,24730651,4191954,28922605
36,West Bengal,15773246,4550426,20323672
37,Miscellaneous,1733741,1513885,3247626
