ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,160298,29266,189564
2,Andhra Pradesh,13264680,3317584,16582264
3,Arunachal Pradesh,549638,94056,643694
4,Assam,6380471,1309982,7690453
5,Bihar,14936096,2449596,17385692
6,Chandigarh,467197,99404,566601
7,Chhattisgarh,8299801,1748422,10048223
8,Dadra and Nagar Haveli and Daman and Diu,430106,50866,480972
9,Delhi,6523882,1939807,8463689
10,Goa,870453,136535,1006988
11,Gujarat,21037552,6081045,27118597
12,Haryana,7907797,1608298,9516095
13,Himachal Pradesh,3387800,659342,4047142
14,Jammu and Kashmir,4103997,770582,4874579
15,Jharkhand,6127715,1174660,7302375
16,Karnataka,19966595,4219905,24186500
17,Kerala,11261356,3685733,14947089
18,Ladakh,176300,59127,235427
19,Lakshadweep,47243,8963,56206
20,Madhya Pradesh,18788825,3227671,22016496
21,Maharashtra,27418684,6986438,34405122
22,Manipur,682013,77454,759467
23,Meghalaya,661585,85910,747495
24,Mizoram,548934,62963,611897
25,Nagaland,469988,68975,538963
26,Odisha,10221766,2370621,12592387
27,Puducherry,460557,78465,539022
28,Punjab,6639425,1234983,7874408
29,Rajasthan,21436674,4384950,25821624
30,Sikkim,423173,92194,515367
31,Tamil Nadu,14154348,2767357,16921705
32,Telangana,10077503,1752938,11830441
33,Tripura,2009334,620862,2630196
34,Uttarakhand,3774468,913800,4688268
35,Uttar Pradesh,28482688,5012080,33494768
36,West Bengal,17286349,5674459,22960808
37,Miscellaneous,1737099,1525929,3263028
