ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,161401,35088,196489
2,Andhra Pradesh,13298619,3335328,16633947
3,Arunachal Pradesh,556791,97418,654209
4,Assam,6396900,1315716,7712616
5,Bihar,15047774,2480073,17527847
6,Chandigarh,472038,102146,574184
7,Chhattisgarh,8323609,1763217,10086826
8,Dadra and Nagar Haveli and Daman and Diu,437342,52908,490250
9,Delhi,6543046,1955333,8498379
10,Goa,880174,141261,1021435
11,Gujarat,21181276,6150594,27331870
12,Haryana,7948524,1633480,9582004
13,Himachal Pradesh,3398021,717807,4115828
14,Jammu and Kashmir,4149494,780541,4930035
15,Jharkhand,6228930,1216827,7445757
16,Karnataka,20170366,4307475,24477841
17,Kerala,11322762,3739556,15062318
18,Ladakh,177767,59794,237561
19,Lakshadweep,47468,9288,56756
20,Madhya Pradesh,18792035,3236461,22028496
21,Maharashtra,27660383,7142815,34803198
22,Manipur,706914,78813,785727
23,Meghalaya,674909,88768,763677
24,Mizoram,554964,65647,620611
25,Nagaland,478548,73648,552196
26,Odisha,10421760,2505430,12927190
27,Puducherry,463896,84623,548519
28,Punjab,6654477,1242647,7897124
29,Rajasthan,21454506,4393818,25848324
30,Sikkim,428512,98958,527470
31,Tamil Nadu,14225382,2792816,17018198
32,Telangana,10173757,1792592,11966349
33,Tripura,2017992,624699,2642691
34,Uttarakhand,3821396,941582,4762978
35,Uttar Pradesh,29315028,5209652,34524680
36,West Bengal,17382766,5822638,23205404
37,Miscellaneous,1737305,1527259,3264564
