ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,166120,56520,222640
2,Andhra Pradesh,13472776,3473215,16945991
3,Arunachal Pradesh,590034,111666,701700
4,Assam,6566338,1345122,7911460
5,Bihar,15882280,2674098,18556378
6,Chandigarh,490212,115043,605255
7,Chhattisgarh,8498849,1865528,10364377
8,Dadra and Nagar Haveli and Daman and Diu,466318,59768,526086
9,Delhi,6814195,2076571,8890766
10,Goa,917320,166208,1083528
11,Gujarat,21373145,6264178,27637323
12,Haryana,8104874,1743422,9848296
13,Himachal Pradesh,3423175,857856,4281031
14,Jammu and Kashmir,4293976,821422,5115398
15,Jharkhand,6368394,1281530,7649924
16,Karnataka,20854334,4664767,25519101
17,Kerala,11544603,4122660,15667263
18,Ladakh,181385,60730,242115
19,Lakshadweep,47936,10670,58606
20,Madhya Pradesh,20130896,3789171,23920067
21,Maharashtra,28600474,7744107,36344581
22,Manipur,776564,84614,861178
23,Meghalaya,712497,97505,810002
24,Mizoram,583307,88062,671369
25,Nagaland,502157,87758,589915
26,Odisha,10727017,2716948,13443965
27,Puducherry,479916,107073,586989
28,Punjab,6842476,1341758,8184234
29,Rajasthan,21664063,4667398,26331461
30,Sikkim,442125,118462,560587
31,Tamil Nadu,14464842,2940208,17405050
32,Telangana,10417619,1977578,12395197
33,Tripura,2058044,647462,2705506
34,Uttarakhand,3899305,990048,4889353
35,Uttar Pradesh,31368938,5797454,37166392
36,West Bengal,17705276,6363044,24068320
37,Miscellaneous,1739718,1531464,3271182
