ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,180673,77199,257872
2,Andhra Pradesh,14507827,4118077,18625904
3,Arunachal Pradesh,627397,136454,763851
4,Assam,7237347,1526782,8764129
5,Bihar,17558850,3110684,20669534
6,Chandigarh,538909,137245,676154
7,Chhattisgarh,8858395,2013866,10872261
8,Dadra and Nagar Haveli and Daman and Diu,510842,66554,577396
9,Delhi,7134416,2211701,9346117
10,Goa,975773,208661,1184434
11,Gujarat,22562614,6788579,29351193
12,Haryana,8514229,1995319,10509548
13,Himachal Pradesh,3505004,1039787,4544791
14,Jammu and Kashmir,4513138,969375,5482513
15,Jharkhand,6795195,1484056,8279251
16,Karnataka,21951515,5260196,27211711
17,Kerala,11989687,4660798,16650485
18,Ladakh,184970,62169,247139
19,Lakshadweep,48946,13010,61956
20,Madhya Pradesh,21169505,4014121,25183626
21,Maharashtra,30339937,9042920,39382857
22,Manipur,923130,104020,1027150
23,Meghalaya,777488,119748,897236
24,Mizoram,609286,127508,736794
25,Nagaland,545016,112838,657854
26,Odisha,11189886,3071920,14261806
27,Puducherry,517865,127803,645668
28,Punjab,7248541,1550517,8799058
29,Rajasthan,22827349,5515589,28342938
30,Sikkim,464383,136099,600482
31,Tamil Nadu,15926560,3458016,19384576
32,Telangana,10868400,2399366,13267766
33,Tripura,2140335,692203,2832538
34,Uttarakhand,33831002,6521498,40352500
35,Uttar Pradesh,4036250,1165577,5201827
36,West Bengal,18540767,7460076,26000843
37,Miscellaneous,1742335,1537622,3279957
