ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,184160,81594,265754
2,Andhra Pradesh,14739442,4415446,19154888
3,Arunachal Pradesh,642785,148586,791371
4,Assam,7532422,1595903,9128325
5,Bihar,18282317,3267577,21549894
6,Chandigarh,558850,152190,711040
7,Chhattisgarh,9126854,2146750,11273604
8,Dadra and Nagar Haveli and Daman and Diu,520173,68953,589126
9,Delhi,7230289,2288595,9518884
10,Goa,994834,227163,1221997
11,Gujarat,23152231,7022578,30174809
12,Haryana,8709635,2118554,10828189
13,Himachal Pradesh,3594024,1090034,4684058
14,Jammu and Kashmir,4622184,1065720,5687904
15,Jharkhand,6933055,1536839,8469894
16,Karnataka,22399673,5557994,27957667
17,Kerala,12340371,5087592,17427963
18,Ladakh,185298,62526,247824
19,Lakshadweep,49276,13713,62989
20,Madhya Pradesh,21563261,4132215,25695476
21,Maharashtra,30819381,9398141,40217522
22,Manipur,979883,122381,1102264
23,Meghalaya,807205,140944,948149
24,Mizoram,621330,152596,773926
25,Nagaland,577392,127080,704472
26,Odisha,11512863,3408325,14921188
27,Puducherry,529718,132725,662443
28,Punjab,7377191,1645775,9022966
29,Rajasthan,23538030,5908869,29446899
30,Sikkim,474356,140802,615158
31,Tamil Nadu,16490501,3604425,20094926
32,Telangana,10961028,2556298,13517326
33,Tripura,2165763,712852,2878615
34,Uttarakhand,4150734,1255384,5406118
35,Uttar Pradesh,35198077,6838114,42036191
36,West Bengal,18951531,7827137,26778668
37,Miscellaneous,1743095,1539569,3282664
