ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,195082,87884,282966
2,Andhra Pradesh,15735873,5021246,20757119
3,Arunachal Pradesh,659025,163154,822179
4,Assam,8204101,1782065,9986166
5,Bihar,19303123,3574242,22877365
6,Chandigarh,587081,174914,761995
7,Chhattisgarh,9309149,2225271,11534420
8,Dadra and Nagar Haveli and Daman and Diu,534497,72112,606609
9,Delhi,7311091,2430507,9741598
10,Goa,1023685,253371,1277056
11,Gujarat,24295325,7517929,31813254
12,Haryana,8880879,2245037,11125916
13,Himachal Pradesh,3779130,1186148,4965278
14,Jammu and Kashmir,4743470,1180480,5923950
15,Jharkhand,7352345,1676024,9028369
16,Karnataka,23074120,6051663,29125783
17,Kerala,13129804,5683515,18813319
18,Ladakh,186045,63689,249734
19,Lakshadweep,49794,14708,64502
20,Madhya Pradesh,24281947,4731400,29013347
21,Maharashtra,31669069,10100624,41769693
22,Manipur,1055476,170480,1225956
23,Meghalaya,846505,171534,1018039
24,Mizoram,628521,175309,803830
25,Nagaland,599970,139987,739957
26,Odisha,11940683,3679339,15620022
27,Puducherry,550475,140183,690658
28,Punjab,7504559,1775956,9280515
29,Rajasthan,24031046,6570232,30601278
30,Sikkim,484754,145263,630017
31,Tamil Nadu,17581627,3852790,21434417
32,Telangana,11107975,3059381,14167356
33,Tripura,2246085,754341,3000426
34,Uttarakhand,4229674,1344347,5574021
35,Uttar Pradesh,37897452,7335881,45233333
36,West Bengal,19763014,8302952,28065966
37,Miscellaneous,1743698,1542288,3285986
