ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,206031,90865,296896
2,Andhra Pradesh,15950895,5463942,21414837
3,Arunachal Pradesh,669044,172718,841762
4,Assam,8623808,1911166,10534974
5,Bihar,20160494,3814053,23974547
6,Chandigarh,608006,190362,798368
7,Chhattisgarh,9502737,2313099,11815836
8,Dadra and Nagar Haveli and Daman and Diu,550146,74152,624298
9,Delhi,7363608,2601930,9965538
10,Goa,1046130,268339,1314469
11,Gujarat,25140294,7849472,32989766
12,Haryana,9225127,2455477,11680604
13,Himachal Pradesh,3898168,1251022,5149190
14,Jammu and Kashmir,4876324,1287629,6163953
15,Jharkhand,7690077,1782023,9472100
16,Karnataka,23624164,6406425,30030589
17,Kerala,13812976,5970187,19783163
18,Ladakh,186894,67030,253924
19,Lakshadweep,50168,15821,65989
20,Madhya Pradesh,25960423,5010997,30971420
21,Maharashtra,32793470,10971677,43765147
22,Manipur,1097943,200435,1298378
23,Meghalaya,881177,195093,1076270
24,Mizoram,638084,195504,833588
25,Nagaland,614449,148726,763175
26,Odisha,12470540,3875372,16345912
27,Puducherry,565669,144330,709999
28,Punjab,7701664,1944988,9646652
29,Rajasthan,24702576,7338270,32040846
30,Sikkim,490105,147845,637950
31,Tamil Nadu,18560128,4105392,22665520
32,Telangana,11205562,3380353,14585915
33,Tripura,2343384,781356,3124740
34,Uttarakhand,4413594,1418451,5832045
35,Uttar Pradesh,39911639,7697281,47608920
36,West Bengal,20540439,8611188,29151627
37,Miscellaneous,1744376,1545196,3289572
