ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,215022,94251,309273
2,Andhra Pradesh,17479763,6141743,23621506
3,Arunachal Pradesh,688074,183403,871477
4,Assam,10193016,2150461,12343477
5,Bihar,22973367,4405092,27378459
6,Chandigarh,686609,218231,904840
7,Chhattisgarh,9951155,2587136,12538291
8,Dadra and Nagar Haveli and Daman and Diu,580321,78889,659210
9,Delhi,7744261,2935475,10679736
10,Goa,1087386,295061,1382447
11,Gujarat,27466682,8751706,36218388
12,Haryana,9954064,2843185,12797249
13,Himachal Pradesh,4190275,1360958,5551233
14,Jammu and Kashmir,5237597,1456341,6693938
15,Jharkhand,8259824,1960995,10220819
16,Karnataka,25473050,7297493,32770543
17,Kerala,15416859,6365607,21782466
18,Ladakh,188426,69959,258385
19,Lakshadweep,50878,16861,67739
20,Madhya Pradesh,29224226,5642793,34867019
21,Maharashtra,34739849,11947723,46687572
22,Manipur,1150906,238463,1389369
23,Meghalaya,932563,226357,1158920
24,Mizoram,653314,204952,858266
25,Nagaland,629822,156980,786802
26,Odisha,13729615,4150724,17880339
27,Puducherry,596311,150447,746758
28,Punjab,8068067,2205009,10273076
29,Rajasthan,26715548,8245184,34960732
30,Sikkim,497154,150743,647897
31,Tamil Nadu,20519815,4619879,25139694
32,Telangana,11589795,3893872,15483667
33,Tripura,2405540,800129,3205669
34,Uttarakhand,5025325,1575317,6600642
35,Uttar Pradesh,45201804,8391745,53593549
36,West Bengal,22961883,9070602,32032485
37,Miscellaneous,1899985,1548575,3448560
