ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,232709,97287,329996
2,Andhra Pradesh,18516430,6485355,25001785
3,Arunachal Pradesh,700995,199738,900733
4,Assam,11432960,2443107,13876067
5,Bihar,25175334,4860789,30036123
6,Chandigarh,733579,244351,977930
7,Chhattisgarh,10155111,2797801,12952912
8,Dadra and Nagar Haveli and Daman and Diu,598356,90398,688754
9,Delhi,8251002,3265001,11516003
10,Goa,1112815,329909,1442724
11,Gujarat,30221465,9623624,39845089
12,Haryana,10492583,3191571,13684154
13,Himachal Pradesh,4950815,1513710,6464525
14,Jammu and Kashmir,5546683,1573539,7120222
15,Jharkhand,8798962,2135071,10934033
16,Karnataka,26663230,7837574,34500804
17,Kerala,17282833,6657853,23940686
18,Ladakh,189535,72825,262360
19,Lakshadweep,51678,17875,69553
20,Madhya Pradesh,31671595,6094211,37765806
21,Maharashtra,36384800,12814601,49199401
22,Manipur,1173886,266351,1440237
23,Meghalaya,968883,257366,1226249
24,Mizoram,660143,217691,877834
25,Nagaland,639379,167940,807319
26,Odisha,15011582,4475606,19487188
27,Puducherry,616248,157201,773449
28,Punjab,8586411,2518843,11105254
29,Rajasthan,28533104,8983877,37516981
30,Sikkim,500829,158042,658871
31,Tamil Nadu,21751355,4899529,26650884
32,Telangana,12073758,4152143,16225901
33,Tripura,2433700,826786,3260486
34,Uttarakhand,5496113,1722511,7218624
35,Uttar Pradesh,48248445,9180335,57428780
36,West Bengal,24817288,9389226,34206514
37,Miscellaneous,1900807,1551252,3452059
