ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,236656,99260,335916
2,Andhra Pradesh,19112443,6717911,25830354
3,Arunachal Pradesh,705987,206594,912581
4,Assam,12367622,2611929,14979551
5,Bihar,26440375,5145554,31585929
6,Chandigarh,758525,260311,1018836
7,Chhattisgarh,10317815,2924685,13242500
8,Dadra and Nagar Haveli and Daman and Diu,603824,99226,703050
9,Delhi,8579961,3391632,11971593
10,Goa,1125584,347163,1472747
11,Gujarat,31490761,10157470,41648231
12,Haryana,10849600,3372839,14222439
13,Himachal Pradesh,5136089,1570679,6706768
14,Jammu and Kashmir,5670977,1623420,7294397
15,Jharkhand,9119092,2235810,11354902
16,Karnataka,27569841,8220641,35790482
17,Kerala,18442543,6808722,25251265
18,Ladakh,190083,74851,264934
19,Lakshadweep,51869,18757,70626
20,Madhya Pradesh,32773503,6370150,39143653
21,Maharashtra,37801328,13465810,51267138
22,Manipur,1178829,284176,1463005
23,Meghalaya,982948,266573,1249521
24,Mizoram,662987,223029,886016
25,Nagaland,643950,177197,821147
26,Odisha,15489879,4684785,20174664
27,Puducherry,621921,161771,783692
28,Punjab,9060240,2723110,11783350
29,Rajasthan,29252296,9266105,38518401
30,Sikkim,502305,162332,664637
31,Tamil Nadu,22546418,5099903,27646321
32,Telangana,12332154,4227316,16559470
33,Tripura,2440148,835860,3276008
34,Uttarakhand,5714455,1790770,7505225
35,Uttar Pradesh,51806164,9597189,61403353
36,West Bengal,25622075,9611001,35233076
37,Miscellaneous,1900922,1551733,3452655
