ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,238494,100155,338649
2,Andhra Pradesh,19398072,6979149,26377221
3,Arunachal Pradesh,709556,211368,920924
4,Assam,12779066,2727638,15506704
5,Bihar,27048961,5293511,32342472
6,Chandigarh,772137,272118,1044255
7,Chhattisgarh,10426246,3015086,13441332
8,Dadra and Nagar Haveli and Daman and Diu,607359,109613,716972
9,Delhi,8839662,3486620,12326282
10,Goa,1136525,363864,1500389
11,Gujarat,32261888,10442928,42704816
12,Haryana,11151583,3524011,14675594
13,Himachal Pradesh,5249632,1614889,6864521
14,Jammu and Kashmir,5765135,1660893,7426028
15,Jharkhand,9282236,2304638,11586874
16,Karnataka,28187251,8572110,36759361
17,Kerala,18871825,6861298,25733123
18,Ladakh,190402,77088,267490
19,Lakshadweep,51970,19198,71168
20,Madhya Pradesh,33553099,6583349,40136448
21,Maharashtra,38994650,14009863,53004513
22,Manipur,1182202,297035,1479237
23,Meghalaya,998799,282489,1281288
24,Mizoram,665491,225976,891467
25,Nagaland,646190,180259,826449
26,Odisha,15667847,4834058,20501905
27,Puducherry,624859,165626,790485
28,Punjab,9427904,2878996,12306900
29,Rajasthan,30119596,9612108,39731704
30,Sikkim,503480,164518,667998
31,Tamil Nadu,23051879,5351394,28403273
32,Telangana,12568129,4294280,16862409
33,Tripura,2445746,846611,3292357
34,Uttarakhand,5882856,1844581,7727437
35,Uttar Pradesh,53347031,10092169,63439200
36,West Bengal,26206635,9881166,36087801
37,Miscellaneous,1901257,1553074,3454331
