ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,257495,105802,363297
2,Andhra Pradesh,21985105,8594335,30579440
3,Arunachal Pradesh,726439,242902,969341
4,Assam,14423801,3127608,17551409
5,Bihar,31740899,6278275,38019174
6,Chandigarh,807066,308389,1115455
7,Chhattisgarh,10750668,3260138,14010806
8,Dadra and Nagar Haveli and Daman and Diu,617181,141149,758330
9,Delhi,9657438,3861137,13518575
10,Goa,1166207,420359,1586566
11,Gujarat,34696836,11687614,46384450
12,Haryana,12254363,4124552,16378915
13,Himachal Pradesh,5492938,1749118,7242056
14,Jammu and Kashmir,6252120,1848071,8100191
15,Jharkhand,10335935,2614284,12950219
16,Karnataka,32054742,10361122,42415864
17,Kerala,21286465,7805599,29092064
18,Ladakh,193686,101990,295676
19,Lakshadweep,52599,23814,76413
20,Madhya Pradesh,38295478,8231890,46527368
21,Maharashtra,43068668,15997164,59065832
22,Manipur,1194502,337741,1532243
23,Meghalaya,1025594,309254,1334848
24,Mizoram,670273,237474,907747
25,Nagaland,655037,201898,856935
26,Odisha,16885476,5423099,22308575
27,Puducherry,639752,185678,825430
28,Punjab,10413004,3255768,13668772
29,Rajasthan,33894711,10902114,44796825
30,Sikkim,506274,167464,673738
31,Tamil Nadu,26131095,6516016,32647111
32,Telangana,13369090,4630022,17999112
33,Tripura,2460629,885651,3346280
34,Uttarakhand,6484731,2031134,8515865
35,Uttar Pradesh,61439591,11702670,73142261
36,West Bengal,29543733,11555735,41099468
37,Miscellaneous,1901906,1554951,3456857
