ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,263057,109226,372283
2,Andhra Pradesh,22673258,9349704,32022962
3,Arunachal Pradesh,733780,264120,997900
4,Assam,15395584,3403193,18798777
5,Bihar,34255613,7035715,41291328
6,Chandigarh,831673,332951,1164624
7,Chhattisgarh,11114713,3507887,14622600
8,Dadra and Nagar Haveli and Daman and Diu,622934,163666,786600
9,Delhi,10150005,4117239,14267244
10,Goa,1178673,457466,1636139
11,Gujarat,36755715,13020258,49775973
12,Haryana,12810564,4435777,17246341
13,Himachal Pradesh,5550531,1827309,7377840
14,Jammu and Kashmir,6497878,1977605,8475483
15,Jharkhand,11196519,2894458,14090977
16,Karnataka,34167026,11491703,45658729
17,Kerala,21616740,8042827,29659567
18,Ladakh,195704,112855,308559
19,Lakshadweep,53029,26928,79957
20,Madhya Pradesh,40152852,9090566,49243418
21,Maharashtra,46034724,17455640,63490364
22,Manipur,1202000,368435,1570435
23,Meghalaya,1036431,326397,1362828
24,Mizoram,674375,253437,927812
25,Nagaland,660683,223440,884123
26,Odisha,18137967,5934138,24072105
27,Puducherry,651499,201416,852915
28,Punjab,11419229,3629146,15048375
29,Rajasthan,35426570,11616041,47042611
30,Sikkim,508844,193521,702365
31,Tamil Nadu,28428563,7144838,35573401
32,Telangana,13853637,5002194,18855831
33,Tripura,2466273,906283,3372556
34,Uttarakhand,6794439,2194344,8988783
35,Uttar Pradesh,67673551,13204584,80878135
36,West Bengal,31629038,12475916,44104954
37,Miscellaneous,1902152,1555730,3457882
