ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,269519,114036,383555
2,Andhra Pradesh,23265287,9917278,33182565
3,Arunachal Pradesh,738584,287527,1026111
4,Assam,16398562,3681756,20080318
5,Bihar,36737537,7764862,44502399
6,Chandigarh,849234,356838,1206072
7,Chhattisgarh,11349866,3675544,15025410
8,Dadra and Nagar Haveli and Daman and Diu,627251,181157,808408
9,Delhi,10632504,4378313,15010817
10,Goa,1183270,478525,1661795
11,Gujarat,38161496,14125250,52286746
12,Haryana,13484621,4735347,18219968
13,Himachal Pradesh,5578363,1928452,7506815
14,Jammu and Kashmir,6801788,2442893,9244681
15,Jharkhand,11758870,3102021,14860891
16,Karnataka,35196111,12249521,47445632
17,Kerala,22737709,8938608,31676317
18,Ladakh,197819,119611,317430
19,Lakshadweep,53678,31981,85659
20,Madhya Pradesh,41676134,9767301,51443435
21,Maharashtra,49125208,18564838,67690046
22,Manipur,1207332,387699,1595031
23,Meghalaya,1046644,358614,1405258
24,Mizoram,678503,297260,975763
25,Nagaland,667261,253637,920898
26,Odisha,19095678,6299712,25395390
27,Puducherry,656726,215061,871787
28,Punjab,12233037,3881913,16114950
29,Rajasthan,37148474,12557462,49705936
30,Sikkim,510958,232971,743929
31,Tamil Nadu,29465249,7568946,37034195
32,Telangana,14212849,5293627,19506476
33,Tripura,2471952,950279,3422231
34,Uttarakhand,6990832,2342255,9333087
35,Uttar Pradesh,72239995,14645020,86885015
36,West Bengal,33750742,13422829,47173571
37,Miscellaneous,1902322,1556469,3458791
