ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,275024,117136,392160
2,Andhra Pradesh,24440457,10932739,35373196
3,Arunachal Pradesh,741067,303519,1044586
4,Assam,16773685,3868640,20642325
5,Bihar,37928469,8189912,46118381
6,Chandigarh,858220,370238,1228458
7,Chhattisgarh,11518730,3789271,15308001
8,Dadra and Nagar Haveli and Daman and Diu,628888,189191,818079
9,Delhi,10843365,4509502,15352867
10,Goa,1188394,500111,1688505
11,Gujarat,38503660,14482963,52986623
12,Haryana,14184793,5034242,19219035
13,Himachal Pradesh,5592174,2012238,7604412
14,Jammu and Kashmir,6954599,2599694,9554293
15,Jharkhand,12111715,3262010,15373725
16,Karnataka,35544380,12672118,48216498
17,Kerala,22820484,9054380,31874864
18,Ladakh,198652,123198,321850
19,Lakshadweep,53956,34765,88721
20,Madhya Pradesh,42165735,10015255,52180990
21,Maharashtra,49917440,18982391,68899831
22,Manipur,1210078,397011,1607089
23,Meghalaya,1050744,374868,1425612
24,Mizoram,680500,320197,1000697
25,Nagaland,671315,270855,942170
26,Odisha,19513895,6543966,26057861
27,Puducherry,660708,226131,886839
28,Punjab,12554977,4020246,16575223
29,Rajasthan,37745950,12970196,50716146
30,Sikkim,512478,263553,776031
31,Tamil Nadu,31958019,8278912,40236931
32,Telangana,14495056,5506846,20001902
33,Tripura,2477947,1054402,3532349
34,Uttarakhand,7070268,2434640,9504908
35,Uttar Pradesh,74535619,15236150,89771769
36,West Bengal,34373312,13756291,48129603
37,Miscellaneous,1902502,1557245,3459747
