ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,286313,131393,417706
2,Andhra Pradesh,25390426,11778820,37169246
3,Arunachal Pradesh,744261,329318,1073579
4,Assam,17424256,4580328,22004584
5,Bihar,40756767,9345863,50102630
6,Chandigarh,874988,396511,1271499
7,Chhattisgarh,12038691,4202834,16241525
8,Dadra and Nagar Haveli and Daman and Diu,635180,216846,852026
9,Delhi,11203425,4801807,16005232
10,Goa,1199656,559777,1759433
11,Gujarat,39956774,16748118,56704892
12,Haryana,15433941,5513373,20947314
13,Himachal Pradesh,5614837,2215899,7830736
14,Jammu and Kashmir,7204844,2895227,10100071
15,Jharkhand,12577611,3494878,16072489
16,Karnataka,37414550,14588418,52002968
17,Kerala,23807401,9833623,33641024
18,Ladakh,200754,128241,328995
19,Lakshadweep,54337,37141,91478
20,Madhya Pradesh,45129801,12421275,57551076
21,Maharashtra,52766279,20673908,73440187
22,Manipur,1214276,412294,1626570
23,Meghalaya,1057602,402231,1459833
24,Mizoram,684563,362438,1047001
25,Nagaland,675073,295380,970453
26,Odisha,20357819,7156403,27514222
27,Puducherry,670139,250889,921028
28,Punjab,13420326,4388568,17808894
29,Rajasthan,39326657,14249452,53576109
30,Sikkim,514426,309417,823843
31,Tamil Nadu,33726820,9276680,43003500
32,Telangana,15973614,6052369,22025983
33,Tripura,2483504,1158811,3642315
34,Uttarakhand,7220478,2736051,9956529
35,Uttar Pradesh,77546189,16663030,94209219
36,West Bengal,36177522,14735459,50912981
37,Miscellaneous,1902673,1558301,3460974
