ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,287532,142453,429985
2,Andhra Pradesh,26024860,12509779,38534639
3,Arunachal Pradesh,747590,357555,1105145
4,Assam,17818370,4927877,22746247
5,Bihar,41941731,9869566,51811297
6,Chandigarh,883985,412106,1296091
7,Chhattisgarh,12478668,4636719,17115387
8,Dadra and Nagar Haveli and Daman and Diu,638610,234786,873396
9,Delhi,11500638,5088168,16588806
10,Goa,1207684,603513,1811197
11,Gujarat,40568740,17465224,58033964
12,Haryana,15903906,5743225,21647131
13,Himachal Pradesh,5632996,2428302,8061298
14,Jammu and Kashmir,7364395,3053977,10418372
15,Jharkhand,12955561,3698915,16654476
16,Karnataka,38178089,15540709,53718798
17,Kerala,24235033,10198187,34433220
18,Ladakh,202465,131059,333524
19,Lakshadweep,54560,38896,93456
20,Madhya Pradesh,45985252,13188327,59173579
21,Maharashtra,54361465,21803462,76164927
22,Manipur,1216639,429011,1645650
23,Meghalaya,1062258,424932,1487190
24,Mizoram,689432,393509,1082941
25,Nagaland,679036,320497,999533
26,Odisha,21038022,7669038,28707060
27,Puducherry,679622,271195,950817
28,Punjab,13570662,4496921,18067583
29,Rajasthan,39525987,14485390,54011377
30,Sikkim,515750,339422,855172
31,Tamil Nadu,34015521,9492744,43508265
32,Telangana,16812778,6312182,23124960
33,Tripura,2487528,1240244,3727772
34,Uttarakhand,7278318,2877911,10156229
35,Uttar Pradesh,79970763,17634231,97604994
36,West Bengal,38095804,15458360,53554164
37,Miscellaneous,1902750,1558657,3461407
