ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,288184,146201,434385
2,Andhra Pradesh,26211367,12719386,38930753
3,Arunachal Pradesh,749994,376197,1126191
4,Assam,18022615,5140291,23162906
5,Bihar,42390257,10146829,52537086
6,Chandigarh,888315,421039,1309354
7,Chhattisgarh,12725313,4875275,17600588
8,Dadra and Nagar Haveli and Daman and Diu,640953,247438,888391
9,Delhi,11657446,5281839,16939285
10,Goa,1212471,628250,1840721
11,Gujarat,41003530,17908922,58912452
12,Haryana,16110488,5883958,21994446
13,Himachal Pradesh,5641906,2528224,8170130
14,Jammu and Kashmir,7518522,3186371,10704893
15,Jharkhand,13173931,3822026,16995957
16,Karnataka,38425093,15872944,54298037
17,Kerala,24424425,10445703,34870128
18,Ladakh,203237,132780,336017
19,Lakshadweep,54593,39540,94133
20,Madhya Pradesh,46615736,13673906,60289642
21,Maharashtra,55096837,22368897,77465734
22,Manipur,1218379,442429,1660808
23,Meghalaya,1065290,439020,1504310
24,Mizoram,691910,411646,1103556
25,Nagaland,681076,332792,1013868
26,Odisha,21461038,7951587,29412625
27,Puducherry,685880,282969,968849
28,Punjab,14007615,4695696,18703311
29,Rajasthan,39787655,14762534,54550189
30,Sikkim,516877,362554,879431
31,Tamil Nadu,34221002,9702501,43923503
32,Telangana,17522521,6575871,24098392
33,Tripura,2489764,1281243,3771007
34,Uttarakhand,7307760,2962316,10270076
35,Uttar Pradesh,81451866,18264565,99716431
36,West Bengal,39108233,15881712,54989945
37,Miscellaneous,1902795,1558835,3461630
