ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,290292,156997,447289
2,Andhra Pradesh,28257625,14396399,42654024
3,Arunachal Pradesh,758531,436189,1194720
4,Assam,18964302,6005228,24969530
5,Bihar,45531554,12572023,58103577
6,Chandigarh,907007,465758,1372765
7,Chhattisgarh,13274222,5507443,18781665
8,Dadra and Nagar Haveli and Daman and Diu,648159,293414,941573
9,Delhi,12277728,6116365,18394093
10,Goa,1232873,736096,1968969
11,Gujarat,42432403,19619686,62052089
12,Haryana,16894773,6614832,23509605
13,Himachal Pradesh,5669175,2817384,8486559
14,Jammu and Kashmir,8345748,3742296,12088044
15,Jharkhand,13894294,4323810,18218104
16,Karnataka,39520052,17650280,57170332
17,Kerala,24791628,11266017,36057645
18,Ladakh,205908,139740,345648
19,Lakshadweep,54891,42479,97370
20,Madhya Pradesh,48732692,15585063,64317755
21,Maharashtra,58910087,25288967,84199054
22,Manipur,1227361,504278,1731639
23,Meghalaya,1074757,489036,1563793
24,Mizoram,698228,449816,1148044
25,Nagaland,689897,382893,1072790
26,Odisha,22727351,8912655,31640006
27,Puducherry,707427,329920,1037347
28,Punjab,14695359,5169576,19864935
29,Rajasthan,40720836,16073365,56794201
30,Sikkim,518936,399111,918047
31,Tamil Nadu,37189005,12167438,49356443
32,Telangana,19374256,7357654,26731910
33,Tripura,2497697,1431379,3929076
34,Uttarakhand,7383687,3226496,10610183
35,Uttar Pradesh,88558148,22305145,110863293
36,West Bengal,42247529,17123221,59370750
37,Miscellaneous,1902970,1559989,3462959
