ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,290847,161573,452420
2,Andhra Pradesh,28376587,14568023,42944610
3,Arunachal Pradesh,760413,448362,1208775
4,Assam,19107244,6111536,25218780
5,Bihar,46198663,13049253,59247916
6,Chandigarh,909730,472984,1382714
7,Chhattisgarh,13392359,5653194,19045553
8,Dadra and Nagar Haveli and Daman and Diu,650036,303688,953724
9,Delhi,12381420,6277772,18659192
10,Goa,1235627,752474,1988101
11,Gujarat,42731522,20153351,62884873
12,Haryana,16986312,6713833,23700145
13,Himachal Pradesh,5673924,2866253,8540177
14,Jammu and Kashmir,8591826,3840787,12432613
15,Jharkhand,14038155,4428746,18466901
16,Karnataka,39645796,17869496,57515292
17,Kerala,24853788,11444843,36298631
18,Ladakh,206401,141131,347532
19,Lakshadweep,54929,42925,97854
20,Madhya Pradesh,48821499,15789581,64611080
21,Maharashtra,59463919,25734865,85198784
22,Manipur,1229109,520348,1749457
23,Meghalaya,1077266,503001,1580267
24,Mizoram,699659,457911,1157570
25,Nagaland,692085,394860,1086945
26,Odisha,23031067,9122570,32153637
27,Puducherry,709532,335283,1044815
28,Punjab,14880782,5306836,20187618
29,Rajasthan,41019169,16595729,57614898
30,Sikkim,519270,404862,924132
31,Tamil Nadu,37358962,12343102,49702064
32,Telangana,19544334,7439067,26983401
33,Tripura,2498635,1453031,3951666
34,Uttarakhand,7395473,3269032,10664505
35,Uttar Pradesh,89261805,22897302,112159107
36,West Bengal,43358133,17391379,60749512
37,Miscellaneous,1903002,1560345,3463347
