ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,292666,179962,472628
2,Andhra Pradesh,30425612,17303081,47728693
3,Arunachal Pradesh,766403,494443,1260846
4,Assam,19777732,6769175,26546907
5,Bihar,47790810,15259452,63050262
6,Chandigarh,920073,512948,1433021
7,Chhattisgarh,13903455,6402341,20305796
8,Dadra and Nagar Haveli and Daman and Diu,655667,342118,997785
9,Delhi,12797955,6972806,19770761
10,Goa,1249646,835076,2084722
11,Gujarat,44099056,23261606,67360662
12,Haryana,17478573,7434002,24912575
13,Himachal Pradesh,5693526,3110126,8803652
14,Jammu and Kashmir,9438569,4462611,13901180
15,Jharkhand,14490392,4870407,19360799
16,Karnataka,40955587,20391289,61346876
17,Kerala,25115770,12364284,37480054
18,Ladakh,207873,147661,355534
19,Lakshadweep,55040,44828,99868
20,Madhya Pradesh,49178877,17613038,66791915
21,Maharashtra,63752040,28582204,92334244
22,Manipur,1238130,610745,1848875
23,Meghalaya,1090713,572167,1662880
24,Mizoram,705793,491775,1197568
25,Nagaland,701850,448508,1150358
26,Odisha,24501933,10165604,34667537
27,Puducherry,721660,371153,1092813
28,Punjab,15580392,5855146,21435538
29,Rajasthan,42063882,18717298,60781180
30,Sikkim,520441,425282,945723
31,Tamil Nadu,39127918,14369459,53497377
32,Telangana,20835665,8224052,29059717
33,Tripura,2502028,1507645,4009673
34,Uttarakhand,7438351,3511106,10949457
35,Uttar Pradesh,93595314,27288718,120884032
36,West Bengal,49572095,18662726,68234821
37,Miscellaneous,1903144,1562810,3465954
