ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,292669,180118,472787
2,Andhra Pradesh,31066825,17536976,48603801
3,Arunachal Pradesh,766832,498200,1265032
4,Assam,19791275,6814910,26606185
5,Bihar,48090370,15445914,63536284
6,Chandigarh,920455,515152,1435607
7,Chhattisgarh,14164471,6487360,20651831
8,Dadra and Nagar Haveli and Daman and Diu,656214,345401,1001615
9,Delhi,12819659,7014365,19834024
10,Goa,1250497,840657,2091154
11,Gujarat,44164637,23503263,67667900
12,Haryana,17495545,7480745,24976290
13,Himachal Pradesh,5694279,3120818,8815097
14,Jammu and Kashmir,9450816,4526499,13977315
15,Jharkhand,14536566,4933641,19470207
16,Karnataka,41245921,20530548,61776469
17,Kerala,25130853,12437190,37568043
18,Ladakh,208022,148143,356165
19,Lakshadweep,55048,44905,99953
20,Madhya Pradesh,49494616,17729670,67224286
21,Maharashtra,64387250,28813458,93200708
22,Manipur,1238699,616064,1854763
23,Meghalaya,1091815,578413,1670228
24,Mizoram,706149,494736,1200885
25,Nagaland,702870,454542,1157412
26,Odisha,24613652,10250872,34864524
27,Puducherry,722698,374661,1097359
28,Punjab,15593509,5865603,21459112
29,Rajasthan,42129019,18877723,61006742
30,Sikkim,520553,428628,949181
31,Tamil Nadu,39457940,14485731,53943671
32,Telangana,20952815,8315144,29267959
33,Tripura,2502033,1508076,4010109
34,Uttarakhand,7440716,3530394,10971110
35,Uttar Pradesh,94302130,27838784,122140914
36,West Bengal,49774217,18738715,68512932
37,Miscellaneous,2237389,1563032,3800421
