ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,293117,189517,482634
2,Andhra Pradesh,31753959,18488176,50242135
3,Arunachal Pradesh,768563,510839,1279402
4,Assam,19897594,7218906,27116500
5,Bihar,48588120,16201811,64789931
6,Chandigarh,922355,525340,1447695
7,Chhattisgarh,14472308,6739013,21211321
8,Dadra and Nagar Haveli and Daman and Diu,657951,356011,1013962
9,Delhi,12895313,7156258,20051571
10,Goa,1254150,864620,2118770
11,Gujarat,44400045,24312005,68712050
12,Haryana,17611599,7747322,25358921
13,Himachal Pradesh,5700451,3209812,8910263
14,Jammu and Kashmir,9477690,4734628,14212318
15,Jharkhand,14687059,5157335,19844394
16,Karnataka,41874170,21484523,63358693
17,Kerala,25196694,12865809,38062503
18,Ladakh,208273,150748,359021
19,Lakshadweep,55060,45155,100215
20,Madhya Pradesh,49763121,18803585,68566706
21,Maharashtra,65587016,29692754,95279770
22,Manipur,1241771,648137,1889908
23,Meghalaya,1095404,599892,1695296
24,Mizoram,707295,500767,1208062
25,Nagaland,704847,467035,1171882
26,Odisha,25004804,10643676,35648480
27,Puducherry,725598,384282,1109880
28,Punjab,15742532,6015717,21758249
29,Rajasthan,42273409,19232688,61506097
30,Sikkim,520981,437465,958446
31,Tamil Nadu,40491298,16041059,56532357
32,Telangana,21426170,8810976,30237146
33,Tripura,2504322,1546687,4051009
34,Uttarakhand,7452767,3639961,11092728
35,Uttar Pradesh,95911944,29551067,125463011
36,West Bengal,52382569,19688135,72070704
37,Miscellaneous,2237409,1563456,3800865
