ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,293347,191929,485276
2,Andhra Pradesh,31963308,18824843,50788151
3,Arunachal Pradesh,769198,515725,1284923
4,Assam,19936468,7368858,27305326
5,Bihar,48674897,16337769,65012666
6,Chandigarh,923021,528977,1451998
7,Chhattisgarh,14550032,6865942,21415974
8,Dadra and Nagar Haveli and Daman and Diu,658674,359482,1018156
9,Delhi,12923071,7205493,20128564
10,Goa,1255244,871396,2126640
11,Gujarat,44457340,24544895,69002235
12,Haryana,17643488,7819575,25463063
13,Himachal Pradesh,5702335,3244969,8947304
14,Jammu and Kashmir,9483886,4795626,14279512
15,Jharkhand,14728098,5221511,19949609
16,Karnataka,41949386,21693599,63642985
17,Kerala,25215790,13008095,38223885
18,Ladakh,208413,151163,359576
19,Lakshadweep,55068,45317,100385
20,Madhya Pradesh,49790047,19172489,68962536
21,Maharashtra,65872419,29936204,95808623
22,Manipur,1243311,662435,1905746
23,Meghalaya,1096581,607453,1704034
24,Mizoram,708353,503555,1211908
25,Nagaland,706016,473056,1179072
26,Odisha,25139601,10786611,35926212
27,Puducherry,729109,390943,1120052
28,Punjab,15778552,6054339,21832891
29,Rajasthan,42311917,19346560,61658477
30,Sikkim,521146,441532,962678
31,Tamil Nadu,40585548,16201294,56786842
32,Telangana,21554948,8957385,30512333
33,Tripura,2505441,1565378,4070819
34,Uttarakhand,7457426,3680900,11138326
35,Uttar Pradesh,96509099,30228982,126738081
36,West Bengal,53048088,20047308,73095396
37,Miscellaneous,2237409,1563456,3800865
