ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,294178,202129,496307
2,Andhra Pradesh,33097480,20629933,53727413
3,Arunachal Pradesh,773805,543518,1317323
4,Assam,20233869,8343925,28577794
5,Bihar,50099600,18685088,68784688
6,Chandigarh,926717,551097,1477814
7,Chhattisgarh,14893077,7425979,22319056
8,Dadra and Nagar Haveli and Daman and Diu,661688,374460,1036148
9,Delhi,13089993,7481486,20571479
10,Goa,1264234,921888,2186122
11,Gujarat,44821039,26522916,71343955
12,Haryana,17799358,8180230,25979588
13,Himachal Pradesh,5718525,3532456,9250981
14,Jammu and Kashmir,9518222,5325386,14843608
15,Jharkhand,15089723,5715545,20805268
16,Karnataka,42602075,23105105,65707180
17,Kerala,25349980,13932114,39282094
18,Ladakh,209001,153078,362079
19,Lakshadweep,55138,46350,101488
20,Madhya Pradesh,49944188,21236939,71181127
21,Maharashtra,67533015,31260859,98793874
22,Manipur,1251273,737467,1988740
23,Meghalaya,1106444,655913,1762357
24,Mizoram,712890,516536,1229426
25,Nagaland,711313,497493,1208806
26,Odisha,25972393,11891737,37864130
27,Puducherry,734525,406430,1140955
28,Punjab,15983491,6299430,22282921
29,Rajasthan,42601523,20309728,62911251
30,Sikkim,521896,453468,975364
31,Tamil Nadu,41359565,17781956,59141521
32,Telangana,22823917,10047891,32871808
33,Tripura,2512573,1689091,4201664
34,Uttarakhand,7485085,3983539,11468624
35,Uttar Pradesh,98837933,33542862,132380795
36,West Bengal,57484830,22105668,79590498
37,Miscellaneous,2237446,1564623,3802069
