ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,294270,203183,497453
2,Andhra Pradesh,33242341,20913706,54156047
3,Arunachal Pradesh,774360,547845,1322205
4,Assam,20261225,8443087,28704312
5,Bihar,50205169,18825998,69031167
6,Chandigarh,926937,552342,1479279
7,Chhattisgarh,14920496,7479851,22400347
8,Dadra and Nagar Haveli and Daman and Diu,662061,376087,1038148
9,Delhi,13098346,7495143,20593489
10,Goa,1264767,925278,2190045
11,Gujarat,44848629,26693849,71542478
12,Haryana,17810822,8209258,26020080
13,Himachal Pradesh,5720733,3575933,9296666
14,Jammu and Kashmir,9523107,5457448,14980555
15,Jharkhand,15151819,5794783,20946602
16,Karnataka,42646427,23215834,65862261
17,Kerala,25367238,14035762,39403000
18,Ladakh,209119,154138,363257
19,Lakshadweep,55142,46483,101625
20,Madhya Pradesh,49958814,21381544,71340358
21,Maharashtra,67670429,31378034,99048463
22,Manipur,1252266,747313,1999579
23,Meghalaya,1110065,668450,1778515
24,Mizoram,713225,518403,1231628
25,Nagaland,712125,501036,1213161
26,Odisha,26129708,12142351,38272059
27,Puducherry,734733,407150,1141883
28,Punjab,15993648,6315304,22308952
29,Rajasthan,42616091,20359459,62975550
30,Sikkim,521919,453808,975727
31,Tamil Nadu,41380967,17830943,59211910
32,Telangana,22952337,10161537,33113874
33,Tripura,2514515,1719898,4234413
34,Uttarakhand,7485849,3993748,11479597
35,Uttar Pradesh,98999352,33725151,132724503
36,West Bengal,57936300,22328089,80264389
37,Miscellaneous,2237479,1565060,3802539
