ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,294452,209849,504301
2,Andhra Pradesh,33441593,21389051,54830644
3,Arunachal Pradesh,775131,553047,1328178
4,Assam,20291421,8643456,28934877
5,Bihar,50829873,19956849,70786722
6,Chandigarh,927920,558778,1486698
7,Chhattisgarh,14937155,7564559,22501714
8,Dadra and Nagar Haveli and Daman and Diu,662389,377952,1040341
9,Delhi,13143948,7593266,20737214
10,Goa,1267036,941924,2208960
11,Gujarat,44854815,26730963,71585778
12,Haryana,17832867,8289146,26122013
13,Himachal Pradesh,5724216,3653635,9377851
14,Jammu and Kashmir,9529552,5663344,15192896
15,Jharkhand,15265201,5960289,21225490
16,Karnataka,42796395,23673553,66469948
17,Kerala,25409763,14403936,39813699
18,Ladakh,209283,155503,364786
19,Lakshadweep,55147,46832,101979
20,Madhya Pradesh,49976421,21611115,71587536
21,Maharashtra,67713942,31459419,99173361
22,Manipur,1253332,753858,2007190
23,Meghalaya,1112926,679443,1792369
24,Mizoram,713684,521109,1234793
25,Nagaland,712899,504482,1217381
26,Odisha,26333179,12542324,38875503
27,Puducherry,736079,412135,1148214
28,Punjab,16021910,6371602,22393512
29,Rajasthan,42621327,20391078,63012405
30,Sikkim,521931,453940,975871
31,Tamil Nadu,41466102,18087343,59553445
32,Telangana,23182813,10414699,33597512
33,Tripura,2515459,1733150,4248609
34,Uttarakhand,7487978,4023719,11511697
35,Uttar Pradesh,99166079,33950337,133116416
36,West Bengal,58295364,22564854,80860218
37,Miscellaneous,2237491,1565430,3802921
