ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,294601,213314,507915
2,Andhra Pradesh,33509901,21608655,55118556
3,Arunachal Pradesh,775724,557999,1333723
4,Assam,20317244,8848896,29166140
5,Bihar,50917462,20053468,70970930
6,Chandigarh,928510,562413,1490923
7,Chhattisgarh,14972044,7651902,22623946
8,Dadra and Nagar Haveli and Daman and Diu,662913,381401,1044314
9,Delhi,13172024,7649246,20821270
10,Goa,1267855,947495,2215350
11,Gujarat,44886104,27119667,72005771
12,Haryana,17862975,8385809,26248784
13,Himachal Pradesh,5726910,3716790,9443700
14,Jammu and Kashmir,9533581,5742176,15275757
15,Jharkhand,15319768,6030025,21349793
16,Karnataka,42857430,23874884,66732314
17,Kerala,25425327,14554564,39979891
18,Ladakh,209411,156353,365764
19,Lakshadweep,55155,46935,102090
20,Madhya Pradesh,50004366,22003272,72007638
21,Maharashtra,67887182,31781957,99669139
22,Manipur,1254564,762551,2017115
23,Meghalaya,1115760,688248,1804008
24,Mizoram,713934,523069,1237003
25,Nagaland,713633,508200,1221833
26,Odisha,26424170,12731506,39155676
27,Puducherry,736313,413209,1149522
28,Punjab,16042750,6417636,22460386
29,Rajasthan,42648331,20528765,63177096
30,Sikkim,521967,454705,976672
31,Tamil Nadu,41494744,18168375,59663119
32,Telangana,23287591,10544076,33831667
33,Tripura,2516498,1749081,4265579
34,Uttarakhand,7491734,4068947,11560681
35,Uttar Pradesh,99562472,34648718,134211190
36,West Bengal,58814492,22993651,81808143
37,Miscellaneous,2237500,1565458,3802958
