ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,295162,222472,517634
2,Andhra Pradesh,33733593,22357126,56090719
3,Arunachal Pradesh,779021,571704,1350725
4,Assam,20460150,9636113,30096263
5,Bihar,51178056,20447874,71625930
6,Chandigarh,931284,580126,1511410
7,Chhattisgarh,15203080,8042659,23245739
8,Dadra and Nagar Haveli and Daman and Diu,665437,396818,1062255
9,Delhi,13314376,7925124,21239500
10,Goa,1271703,971668,2243371
11,Gujarat,45064724,29141768,74206492
12,Haryana,18008201,8797739,26805940
13,Himachal Pradesh,5744194,4070876,9815070
14,Jammu and Kashmir,9551405,6218719,15770124
15,Jharkhand,15538279,6309282,21847561
16,Karnataka,43183302,24909606,68092908
17,Kerala,25496073,15344639,40840712
18,Ladakh,209948,159583,369531
19,Lakshadweep,55212,47527,102739
20,Madhya Pradesh,50261563,25174524,75436087
21,Maharashtra,69092912,33416893,102509805
22,Manipur,1261028,795705,2056733
23,Meghalaya,1127545,724423,1851968
24,Mizoram,717957,532525,1250482
25,Nagaland,716315,517282,1233597
26,Odisha,26806764,13491955,40298719
27,Puducherry,739537,424136,1163673
28,Punjab,16176778,6709276,22886054
29,Rajasthan,42850065,21421020,64271085
30,Sikkim,522359,459739,982098
31,Tamil Nadu,41834833,18877582,60712415
32,Telangana,23693492,11086174,34779666
33,Tripura,2521836,1828632,4350468
34,Uttarakhand,7512786,4316332,11829118
35,Uttar Pradesh,101675883,38007473,139683356
36,West Bengal,59913497,24255649,84169146
37,Miscellaneous,2237547,1566585,3804132
