ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,295336,225610,520946
2,Andhra Pradesh,33778711,22519115,56297826
3,Arunachal Pradesh,780512,575913,1356425
4,Assam,20527954,9898020,30425974
5,Bihar,51341596,20715178,72056774
6,Chandigarh,932155,585594,1517749
7,Chhattisgarh,15294573,8173372,23467945
8,Dadra and Nagar Haveli and Daman and Diu,666328,401456,1067784
9,Delhi,13364666,8006480,21371146
10,Goa,1272760,978766,2251526
11,Gujarat,45125673,29712308,74837981
12,Haryana,18057049,8912021,26969070
13,Himachal Pradesh,5750863,4185816,9936679
14,Jammu and Kashmir,9556170,6338470,15894640
15,Jharkhand,15673554,6487775,22161329
16,Karnataka,43251438,25109159,68360597
17,Kerala,25514669,15534437,41049106
18,Ladakh,210110,160510,370620
19,Lakshadweep,55270,47761,103031
20,Madhya Pradesh,50301445,25635622,75937067
21,Maharashtra,69497490,33916227,103413717
22,Manipur,1263293,805472,2068765
23,Meghalaya,1130788,733771,1864559
24,Mizoram,719157,533996,1253153
25,Nagaland,718556,521349,1239905
26,Odisha,26900719,13670895,40571614
27,Puducherry,740825,427916,1168741
28,Punjab,16217007,6785173,23002180
29,Rajasthan,42896522,21613532,64510054
30,Sikkim,522481,460942,983423
31,Tamil Nadu,42290882,19943818,62234700
32,Telangana,23788072,11239592,35027664
33,Tripura,2524103,1855611,4379714
34,Uttarakhand,7517876,4378897,11896773
35,Uttar Pradesh,102445055,39050909,141495964
36,West Bengal,60300621,24614151,84914772
37,Miscellaneous,2237547,1566585,3804132
