ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,296307,248373,544680
2,Andhra Pradesh,34241192,24097838,58339030
3,Arunachal Pradesh,790720,601559,1392279
4,Assam,20957957,11391298,32349255
5,Bihar,53475379,24549197,78024576
6,Chandigarh,937829,614982,1552811
7,Chhattisgarh,16061724,9041476,25103200
8,Dadra and Nagar Haveli and Daman and Diu,672670,430029,1102699
9,Delhi,13708314,8552157,22260471
10,Goa,1279025,1013749,2292774
11,Gujarat,45606127,33396868,79002995
12,Haryana,18429571,9710761,28140332
13,Himachal Pradesh,5802170,4913084,10715254
14,Jammu and Kashmir,9586587,6863055,16449642
15,Jharkhand,16298854,7397499,23696353
16,Karnataka,44112932,27985599,72098531
17,Kerala,25619179,16650450,42269629
18,Ladakh,211396,168770,380166
19,Lakshadweep,55379,48863,104242
20,Madhya Pradesh,50920656,33177225,84097881
21,Maharashtra,72429277,37660183,110089460
22,Manipur,1274844,852319,2127163
23,Meghalaya,1158627,794775,1953402
24,Mizoram,727700,551009,1278709
25,Nagaland,731492,540198,1271690
26,Odisha,27553473,15021721,42575194
27,Puducherry,754043,455127,1209170
28,Punjab,16441683,7304213,23745896
29,Rajasthan,43243181,23436411,66679592
30,Sikkim,523021,467537,990558
31,Tamil Nadu,44456081,23324179,67780260
32,Telangana,24634883,12385166,37020049
33,Tripura,2539790,1978930,4518720
34,Uttarakhand,7559947,4840905,12400852
35,Uttar Pradesh,108774706,46509162,155283868
36,West Bengal,62388420,27667532,90055952
37,Miscellaneous,2237674,1568650,3806324
