ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,296412,250649,547061
2,Andhra Pradesh,34364664,24323054,58687718
3,Arunachal Pradesh,791634,604215,1395849
4,Assam,20991429,11533256,32524685
5,Bihar,53691963,24991231,78683194
6,Chandigarh,938486,618023,1556509
7,Chhattisgarh,16132509,9110675,25243184
8,Dadra and Nagar Haveli and Daman and Diu,673111,432103,1105214
9,Delhi,13740799,8606320,22347119
10,Goa,1279610,1016811,2296421
11,Gujarat,45660192,33846533,79506725
12,Haryana,18472110,9807283,28279393
13,Himachal Pradesh,5807885,4980454,10788339
14,Jammu and Kashmir,9590157,6899720,16489877
15,Jharkhand,16360512,7497201,23857713
16,Karnataka,44218327,28333838,72552165
17,Kerala,25630787,16797620,42428407
18,Ladakh,211525,169697,381222
19,Lakshadweep,55387,48989,104376
20,Madhya Pradesh,50963355,33628766,84592121
21,Maharashtra,72754237,38104224,110858461
22,Manipur,1276059,856555,2132614
23,Meghalaya,1160812,799721,1960533
24,Mizoram,728855,553183,1282038
25,Nagaland,732777,542267,1275044
26,Odisha,27619492,15181710,42801202
27,Puducherry,756796,458940,1215736
28,Punjab,16468129,7369853,23837982
29,Rajasthan,43289613,23674453,66964066
30,Sikkim,523086,468390,991476
31,Tamil Nadu,44621560,23551552,68173112
32,Telangana,24725352,12499406,37224758
33,Tripura,2542376,1988326,4530702
34,Uttarakhand,7565300,4896041,12461341
35,Uttar Pradesh,109594108,47425483,157019591
36,West Bengal,62611076,28144666,90755742
37,Miscellaneous,2237683,1568889,3806572
