ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,296556,252588,549144
2,Andhra Pradesh,34480289,24511545,58991834
3,Arunachal Pradesh,792523,606617,1399140
4,Assam,21024999,11669108,32694107
5,Bihar,54023942,25829116,79853058
6,Chandigarh,939297,622359,1561656
7,Chhattisgarh,16308886,9234826,25543712
8,Dadra and Nagar Haveli and Daman and Diu,673568,434435,1108003
9,Delhi,13783238,8687944,22471182
10,Goa,1280384,1020878,2301262
11,Gujarat,45702387,34207978,79910365
12,Haryana,18507747,9895962,28403709
13,Himachal Pradesh,5812893,5035658,10848551
14,Jammu and Kashmir,9593197,6932472,16525669
15,Jharkhand,16421748,7585413,24007161
16,Karnataka,44356771,28679609,73036380
17,Kerala,25650536,17023891,42674427
18,Ladakh,211646,170368,382014
19,Lakshadweep,55397,49094,104491
20,Madhya Pradesh,51023413,34348529,85371942
21,Maharashtra,73092957,38604594,111697551
22,Manipur,1277531,861357,2138888
23,Meghalaya,1162238,802659,1964897
24,Mizoram,730032,553923,1283955
25,Nagaland,733377,542879,1276256
26,Odisha,27682978,15328979,43011957
27,Puducherry,760234,464111,1224345
28,Punjab,16494922,7443006,23937928
29,Rajasthan,43359793,24088960,67448753
30,Sikkim,523116,468636,991752
31,Tamil Nadu,44761707,23742162,68503869
32,Telangana,24808268,12619497,37427765
33,Tripura,2545698,2001730,4547428
34,Uttarakhand,7570607,4948911,12519518
35,Uttar Pradesh,110381932,48253981,158635913
36,West Bengal,62809515,28506217,91315732
37,Miscellaneous,2237692,1569128,3806820
