ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,296571,252792,549363
2,Andhra Pradesh,34556534,24580141,59136675
3,Arunachal Pradesh,792842,607288,1400130
4,Assam,21039744,11711248,32750992
5,Bihar,54142349,26137724,80280073
6,Chandigarh,939641,624022,1563663
7,Chhattisgarh,16346733,9279021,25625754
8,Dadra and Nagar Haveli and Daman and Diu,673596,434468,1108064
9,Delhi,13794259,8705024,22499283
10,Goa,1281406,1025230,2306636
11,Gujarat,45717560,34319341,80036901
12,Haryana,18524740,9934462,28459202
13,Himachal Pradesh,5815965,5071572,10887537
14,Jammu and Kashmir,9594022,6945268,16539290
15,Jharkhand,16476072,7672827,24148899
16,Karnataka,44461360,28844937,73306297
17,Kerala,25651690,17035990,42687680
18,Ladakh,211660,170441,382101
19,Lakshadweep,55397,49095,104492
20,Madhya Pradesh,51036402,34543170,85579572
21,Maharashtra,73257581,38759230,112016811
22,Manipur,1279041,864096,2143137
23,Meghalaya,1162299,802803,1965102
24,Mizoram,730212,553995,1284207
25,Nagaland,736394,544773,1281167
26,Odisha,27718706,15372224,43090930
27,Puducherry,761244,465265,1226509
28,Punjab,16501398,7457473,23958871
29,Rajasthan,43370316,24153469,67523785
30,Sikkim,523116,468643,991759
31,Tamil Nadu,45215660,24654940,69870600
32,Telangana,24824563,12635234,37459797
33,Tripura,2547392,2002877,4550269
34,Uttarakhand,7572844,4970946,12543790
35,Uttar Pradesh,110886686,48672150,159558836
36,West Bengal,62917792,28626143,91543935
37,Miscellaneous,2237692,1569128,3806820
