ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,297479,266699,564178
2,Andhra Pradesh,36186125,25792949,61979074
3,Arunachal Pradesh,797656,620509,1418165
4,Assam,21514060,12837120,34351180
5,Bihar,55387802,30964634,86352436
6,Chandigarh,948134,655669,1603803
7,Chhattisgarh,16822645,10084091,26906736
8,Dadra and Nagar Haveli and Daman and Diu,677940,451293,1129233
9,Delhi,14156186,9295806,23451992
10,Goa,1288024,1049371,2337395
11,Gujarat,46058115,37117440,83175555
12,Haryana,18776083,10673156,29449239
13,Himachal Pradesh,5839664,5400406,11240070
14,Jammu and Kashmir,9621925,7364676,16986601
15,Jharkhand,16933583,8472797,25406380
16,Karnataka,45804673,31937983,77742656
17,Kerala,25804167,18257359,44061526
18,Ladakh,212463,172758,385221
19,Lakshadweep,55474,50226,105700
20,Madhya Pradesh,51411669,39334047,90745716
21,Maharashtra,76270772,43215876,119486648
22,Manipur,1292766,908766,2201532
23,Meghalaya,1177033,829303,2006336
24,Mizoram,737185,565515,1302700
25,Nagaland,744915,555002,1299917
26,Odisha,28136976,16642916,44779892
27,Puducherry,787534,496569,1284103
28,Punjab,16683382,7995225,24678607
29,Rajasthan,44104176,27379892,71484068
30,Sikkim,523613,473153,996766
31,Tamil Nadu,46653293,27100814,73754107
32,Telangana,25709479,13579730,39289209
33,Tripura,2558308,2053510,4611818
34,Uttarakhand,7633940,5425189,13059129
35,Uttar Pradesh,115068284,53996678,169064962
36,West Bengal,63768682,31341744,95110426
37,Miscellaneous,2237717,1569797,3807514
