ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,298094,277390,575484
2,Andhra Pradesh,37671968,26678785,64350753
3,Arunachal Pradesh,800184,630405,1430589
4,Assam,21601111,13711672,35312783
5,Bihar,55977449,33644867,89622316
6,Chandigarh,953771,674758,1628529
7,Chhattisgarh,17222332,10723933,27946265
8,Dadra and Nagar Haveli and Daman and Diu,684382,472152,1156534
9,Delhi,14424086,9715176,24139262
10,Goa,1292179,1063685,2355864
11,Gujarat,46314869,38991534,85306403
12,Haryana,18941045,11315378,30256423
13,Himachal Pradesh,5846339,5434148,11280487
14,Jammu and Kashmir,9640535,7636569,17277104
15,Jharkhand,17287340,9127844,26415184
16,Karnataka,46528160,33807855,80336015
17,Kerala,25883393,18893030,44776423
18,Ladakh,212873,173788,386661
19,Lakshadweep,55513,50811,106324
20,Madhya Pradesh,51656474,42669240,94325714
21,Maharashtra,77695459,46085643,123781102
22,Manipur,1302631,934262,2236893
23,Meghalaya,1195979,849997,2045976
24,Mizoram,740641,572213,1312854
25,Nagaland,751709,563103,1314812
26,Odisha,28400830,17640959,46041789
27,Puducherry,803455,512705,1316160
28,Punjab,16807344,8388455,25195799
29,Rajasthan,44694911,29686770,74381681
30,Sikkim,524040,476481,1000521
31,Tamil Nadu,47663749,29059651,76723400
32,Telangana,26597245,14616499,41213744
33,Tripura,2561727,2078318,4640045
34,Uttarakhand,7670219,5666438,13336657
35,Uttar Pradesh,118461348,58956902,177418250
36,West Bengal,64055874,32976138,97032012
37,Miscellaneous,2237744,1569906,3807650
