ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,298237,278762,576999
2,Andhra Pradesh,37943672,26821966,64765638
3,Arunachal Pradesh,800699,632906,1433605
4,Assam,21611406,13855649,35467055
5,Bihar,56045533,33949740,89995273
6,Chandigarh,954670,677936,1632606
7,Chhattisgarh,17258363,10807400,28065763
8,Dadra and Nagar Haveli and Daman and Diu,685731,475451,1161182
9,Delhi,14473693,9800952,24274645
10,Goa,1293076,1067118,2360194
11,Gujarat,46349612,39236840,85586452
12,Haryana,18966178,11432287,30398465
13,Himachal Pradesh,5847375,5439234,11286609
14,Jammu and Kashmir,9643673,7674486,17318159
15,Jharkhand,17350776,9249614,26600390
16,Karnataka,46628783,34069893,80698676
17,Kerala,25903483,19073392,44976875
18,Ladakh,212910,173843,386753
19,Lakshadweep,55519,50851,106370
20,Madhya Pradesh,51685690,43084552,94770242
21,Maharashtra,77916225,46621330,124537555
22,Manipur,1304324,938759,2243083
23,Meghalaya,1201784,854707,2056491
24,Mizoram,740988,573635,1314623
25,Nagaland,753045,565051,1318096
26,Odisha,28439439,17806528,46245967
27,Puducherry,806706,516010,1322716
28,Punjab,16830148,8467842,25297990
29,Rajasthan,44777714,29983375,74761089
30,Sikkim,524178,477774,1001952
31,Tamil Nadu,47781809,29243855,77025664
32,Telangana,26726751,14856980,41583731
33,Tripura,2562521,2082749,4645270
34,Uttarakhand,7675830,5702669,13378499
35,Uttar Pradesh,119059750,59735424,178795174
36,West Bengal,64106438,33508369,97614807
37,Miscellaneous,2237773,1570146,3807919
