ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,298323,280068,578391
2,Andhra Pradesh,38160957,26957686,65118643
3,Arunachal Pradesh,801151,634399,1435550
4,Assam,21620660,13984745,35605405
5,Bihar,56205937,34743167,90949104
6,Chandigarh,955519,681003,1636522
7,Chhattisgarh,17281441,10860745,28142186
8,Dadra and Nagar Haveli and Daman and Diu,686900,480125,1167025
9,Delhi,14518707,9879405,24398112
10,Goa,1293780,1070082,2363862
11,Gujarat,46399722,39569290,85969012
12,Haryana,18993134,11558292,30551426
13,Himachal Pradesh,5848414,5445205,11293619
14,Jammu and Kashmir,9646290,7712116,17358406
15,Jharkhand,17408042,9361100,26769142
16,Karnataka,46715928,34299110,81015038
17,Kerala,25921431,19243505,45164936
18,Ladakh,213040,174070,387110
19,Lakshadweep,55522,50922,106444
20,Madhya Pradesh,51706826,43348941,95055767
21,Maharashtra,78120395,47121888,125242283
22,Manipur,1305698,942353,2248051
23,Meghalaya,1208563,859618,2068181
24,Mizoram,741350,574685,1316035
25,Nagaland,753843,566614,1320457
26,Odisha,28475850,17974203,46450053
27,Puducherry,809556,519082,1328638
28,Punjab,16855009,8552497,25407506
29,Rajasthan,44859567,30273618,75133185
30,Sikkim,524251,478355,1002606
31,Tamil Nadu,47893217,29406791,77300008
32,Telangana,26843423,15120689,41964112
33,Tripura,2563219,2087066,4650285
34,Uttarakhand,7681420,5738877,13420297
35,Uttar Pradesh,119686528,60551747,180238275
36,West Bengal,64150177,34000715,98150892
37,Miscellaneous,2237773,1570146,3807919
